Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,OperatingSystems,Browser,Region,TrafficType,month,VisitorType,Weekend,Revenue
1.0,-1.0605751,0.0,-2.6887376,24.0,439.82077,0.119894214,0.11636613,1.1031796,0.025713934,1.0,1.0,1.0,2.0,Feb,Returning_Visitor,False,False
0.0,11.857973,0.0,4.27755,7.0,548.16284,0.012970466,0.071172416,0.9721748,0.005994497,2.0,2.0,1.0,3.0,May,Returning_Visitor,False,False
5.0,28.271605,1.0,-3.1075952,27.0,1491.8671,0.0030874107,0.031965382,4.6009645,-0.006553801,2.0,2.0,5.0,2.0,Nov,Returning_Visitor,False,False
15.0,771.7927,0.0,5.0295835,35.0,2043.7903,0.025049364,0.033430334,3.1242747,0.0011539293,1.0,1.0,1.0,3.0,Mar,Returning_Visitor,False,False
7.0,109.93581,0.0,-2.641466,9.0,144.79929,0.073669635,0.08553226,-0.58124906,0.06400912,3.0,3.0,1.0,6.0,Dec,Returning_Visitor,False,False
0.0,8.137033,0.0,-1.7997719,6.0,157.19016,-0.004427539,0.019020662,0.60397214,-0.005417982,2.0,2.0,1.0,2.0,Mar,New_Visitor,False,False
11.0,441.8543,-0.0,31.13617,30.0,447.31876,0.002259666,0.008706548,20.367456,-0.012604738,4.0,2.0,5.0,5.0,May,Returning_Visitor,True,True
2.0,10.894335,-0.0,-4.851976,20.0,1239.4359,0.0067414455,0.031784907,6.0350733,-0.017893652,2.0,2.0,2.0,3.0,May,Returning_Visitor,False,True
1.0,28.47547,0.0,0.85895383,13.0,336.8936,0.03894783,0.06699969,0.39191023,-0.012305098,4.0,1.0,1.0,2.0,May,Returning_Visitor,False,False
1.0,7.7941155,0.0,-11.860495,16.0,327.94406,0.0054204594,0.026213214,33.32185,0.015541522,3.0,2.0,3.0,5.0,Nov,New_Visitor,False,True
1.0,-7.850118,0.0,-11.616922,41.0,1747.9513,0.0036124922,0.015952528,39.626827,0.0065165404,2.0,2.0,1.0,3.0,Nov,Returning_Visitor,False,True
0.0,9.126017,0.0,-5.136087,15.0,263.45016,0.018621657,0.049193628,0.108884975,-0.007936204,2.0,2.0,1.0,4.0,May,Returning_Visitor,False,False
-0.0,-20.182234,0.0,13.446718,20.0,851.38104,0.0014801064,0.016362594,-0.50279075,-0.0075561795,2.0,3.0,1.0,2.0,Mar,Returning_Visitor,True,False
