39, 77516, 13, 2174, 0, 40, State-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male, United-States, <=50K
22.361254,266304.66,13.26917,-364.95184,-33.642437,41.185295, Private, Bachelors, Never-married, Tech-support, Not-in-family, White, Male, United-States, <=50K
32.31443,300735.6,6.9000716,-65.38947,-7.4148283,42.615025, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, United-States, <=50K
44.43994,5564.344,11.059066,1310.2202,0.29658997,68.2099, Federal-gov, Assoc-voc, Married-civ-spouse, Farming-fishing, Husband, White, Male, United-States, >50K
40.656425,164604.6,10.423263,2137.209,29.487425,38.85418, ?, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, <=50K
38.781013,288716.28,11.804406,479.76044,-30.822222,36.14241, Private, Bachelors, Widowed, Craft-repair, Not-in-family, White, Female, United-States, <=50K
21.286928,244307.03,8.931417,-612.1457,62.097946,33.010597, Private, HS-grad, Never-married, Other-service, Other-relative, White, Male, United-States, <=50K
56.40247,9726.188,9.795831,-110.75202,-39.975933,59.125225, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
38.959072,294686.06,13.691546,289.61908,-30.768602,45.10266, Private, Bachelors, Never-married, Protective-serv, Not-in-family, White, Male, United-States, <=50K
47.65326,395885.53,10.848974,360.67316,-15.341174,36.18695, Private, Assoc-voc, Divorced, Exec-managerial, Unmarried, White, Male, United-States, <=50K
30.376698,107847.875,10.075885,761.32196,-2.678584,37.439686, Private, Some-college, Married-spouse-absent, Prof-specialty, Unmarried, White, Male, United-States, <=50K
49.29215,244218.78,9.756477,162.43103,-19.346865,41.309742, Private, Assoc-voc, Widowed, Farming-fishing, Not-in-family, White, Male, United-States, <=50K
49.21672,492225.72,10.621049,3489.6467,-25.046549,39.238758, Federal-gov, Assoc-voc, Married-civ-spouse, Other-service, Husband, White, Male, United-States, <=50K
30.340067,44615.594,10.955452,1825.1002,-9.287608,38.83686, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
74.077126,279097.94,9.890155,1367.8696,-22.470346,26.199606, Without-pay, HS-grad, Widowed, Farming-fishing, Unmarried, White, Female, United-States, <=50K
32.40681,74828.19,9.276691,543.3866,-24.690714,53.10445, Federal-gov, HS-grad, Married-spouse-absent, Craft-repair, Unmarried, White, Male, United-States, <=50K
44.150253,71891.05,11.039454,-288.9655,-36.009853,31.65972, Private, Assoc-voc, Married-civ-spouse, Other-service, Unmarried, White, Female, United-States, <=50K
31.4676,128362.484,10.007978,863.6728,5.9332857,35.615555, Self-emp-not-inc, Some-college, Married-civ-spouse, ?, Wife, White, Female, United-States, <=50K
28.863903,169329.77,8.004035,-882.1141,310.02612,29.926405, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, <=50K
29.357868,199669.39,11.159782,-19.546452,282.6278,42.05487, Private, Assoc-voc, Never-married, Handlers-cleaners, Not-in-family, White, Female, United-States, <=50K
48.535564,380497.0,5.0410466,1108.3042,19.966787,27.7313, Local-gov, HS-grad, Widowed, Other-service, Unmarried, White, Female, United-States, <=50K
43.588036,200496.73,15.599555,-806.5534,7.605794,53.84566, State-gov, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States, >50K
37.82063,211974.94,10.741906,696.8753,-47.011974,34.273556, Local-gov, Assoc-voc, Divorced, Exec-managerial, Unmarried, White, Female, United-States, <=50K
30.935684,199395.4,9.744466,-584.48676,37.081306,54.209015, Self-emp-inc, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
43.45409,-4158.6245,10.14989,-99.55671,524.2464,5.656576, Private, Assoc-voc, Married-civ-spouse, Other-service, Husband, White, Male, United-States, <=50K
45.726925,214731.95,6.3588805,882.66486,-1.6180676,43.510685, Self-emp-not-inc, HS-grad, Widowed, Craft-repair, Not-in-family, White, Male, United-States, <=50K
38.693584,139608.23,11.338306,381.0218,-41.68748,47.990128, Private, Assoc-voc, Married-spouse-absent, Craft-repair, Not-in-family, White, Male, United-States, <=50K
34.09279,314271.84,10.4440365,-4.2185707,-35.959904,46.041077, Private, Assoc-voc, Divorced, Prof-specialty, Wife, White, Female, United-States, <=50K
22.673338,311568.9,10.107867,-635.5306,-11.997249,38.860043, Private, Some-college, Married-spouse-absent, Adm-clerical, Unmarried, White, Male, United-States, <=50K
22.702284,64237.258,9.280333,772.94293,-33.85911,31.92329, Private, HS-grad, Never-married, Craft-repair, Unmarried, White, Male, United-States, <=50K
24.531607,311962.47,7.8158884,190.36499,-26.113497,25.59117, Private, HS-grad, Never-married, Farming-fishing, Other-relative, White, Female, United-States, <=50K
54.100636,186707.06,9.596484,287.2115,-17.632479,59.69077, Local-gov, Some-college, Married-civ-spouse, Other-service, Husband, White, Female, United-States, <=50K
56.429604,326433.25,17.297047,-2491.1404,1215.6794,42.184315, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
38.786556,85682.695,1.1229086,1043.0299,3.265584,47.118008, State-gov, HS-grad, Widowed, Exec-managerial, Unmarried, White, Female, United-States, <=50K
19.819353,79577.305,12.425023,-522.51764,-28.131098,30.8824, Private, Bachelors, Divorced, Other-service, Not-in-family, White, Male, United-States, >50K
13.16565,312062.06,11.704636,271.81506,66.16956,28.377722, Private, Assoc-voc, Never-married, Adm-clerical, Unmarried, White, Male, United-States, <=50K
30.246323,294960.53,11.845991,763.1335,-6.287936,23.732792, Federal-gov, Bachelors, Never-married, Farming-fishing, Not-in-family, White, Male, United-States, <=50K
34.967354,118977.766,6.329293,1223.4316,-1.2298154,46.151997, Private, HS-grad, Divorced, Tech-support, Not-in-family, White, Male, United-States, >50K
17.665524,257427.9,10.280238,386.00464,14.533917,18.03359, Self-emp-inc, Some-college, Married-civ-spouse, Transport-moving, Wife, White, Female, United-States, <=50K
26.08004,217156.1,12.023725,441.23608,-11.557223,37.735245, ?, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
41.136696,364359.47,10.087284,159.14636,-26.29194,57.18443, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
24.375498,321519.4,5.7459407,738.4418,297.93253,30.032413, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male, United-States, >50K
43.17939,58692.03,9.024971,181.18878,-32.803944,30.787138, Self-emp-inc, HS-grad, Married-spouse-absent, Exec-managerial, Not-in-family, White, Female, United-States, <=50K
32.972095,154771.19,12.101299,605.1592,-25.636621,71.36624, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female, United-States, <=50K
55.367596,122788.125,9.193059,4190.7803,-30.206392,49.01604, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
20.321033,200815.5,8.129116,116.84588,1.6161777,36.88725, Private, HS-grad, Married-civ-spouse, Adm-clerical, Own-child, White, Female, United-States, <=50K
61.36313,201314.2,13.326421,486.36438,-22.789728,33.513195, Local-gov, Bachelors, Widowed, Prof-specialty, Unmarried, White, Female, United-States, <=50K
28.303436,192573.38,3.1589184,243.42139,4.7919207,21.129557, Private, HS-grad, Never-married, Farming-fishing, Other-relative, White, Male, United-States, <=50K
36.761852,184999.73,6.2782106,1262.3723,40.856415,38.93929, Federal-gov, HS-grad, Never-married, Sales, Unmarried, White, Female, United-States, <=50K
22.360142,148691.22,7.9681563,885.07367,20.007017,30.25212, State-gov, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male, United-States, <=50K
36.602707,168033.2,16.682447,-1460.313,402.12354,37.958927, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States, >50K
39.087288,148434.9,9.679568,11507.648,74.512634,53.099533, Private, HS-grad, Never-married, Craft-repair, Other-relative, White, Male, United-States, >50K
23.465242,111380.5,8.501255,12757.292,17.300558,41.660633, Private, HS-grad, Married-civ-spouse, Transport-moving, Own-child, White, Male, United-States, >50K
51.374836,78182.734,8.823395,943.76227,-10.445552,41.084946, Local-gov, HS-grad, Married-spouse-absent, Protective-serv, Unmarried, White, Female, United-States, <=50K
62.768707,289170.78,13.376425,3430.4307,-0.47246063,48.309322, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, >50K
39.519085,139152.14,9.123051,270.07935,-24.618822,33.630314, Self-emp-inc, HS-grad, Divorced, Sales, Unmarried, White, Male, United-States, <=50K
26.630207,295369.5,9.268215,740.2685,-27.055887,59.086273, Federal-gov, HS-grad, Married-spouse-absent, Transport-moving, Unmarried, White, Male, United-States, <=50K
48.39047,161405.56,11.99056,930.9147,-14.120265,41.204227, Federal-gov, Bachelors, Widowed, Other-service, Unmarried, White, Female, United-States, >50K
