39, 77516, 13, 2174, 0, 40, State-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male, United-States, <=50K
37.367474,240922.61,11.439822,217.71045,10.268567,50.65465, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
31.729883,93318.375,13.532052,7326.245,208.92169,31.95343, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female, United-States, >50K
38.9446,467234.3,6.7669854,1309.0583,116.46378,42.844456, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male, United-States, <=50K
31.089222,186614.16,10.554588,2914.8489,4.52699,43.35274, Private, HS-grad, Married-civ-spouse, Prof-specialty, Unmarried, White, Female, United-States, <=50K
32.819374,240826.42,10.873252,-163.86993,83.827866,38.902798, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Male, United-States, <=50K
20.975067,202460.94,6.946816,218.31323,-60.92657,35.701405, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Male, United-States, <=50K
56.941616,113411.05,9.249332,5583.2593,-10.417178,41.906498, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
20.46853,147212.88,10.264334,363.76306,259.31415,49.561935, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female, United-States, <=50K
21.728918,265335.84,7.519083,-1055.9055,47.726875,58.99211, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Male, United-States, <=50K
34.67799,142884.83,8.367536,433.84296,14.454717,46.078598, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male, United-States, <=50K
42.13763,240670.64,12.952205,574.4395,76.357765,36.370224, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, <=50K
41.28684,262688.6,10.624347,1027.8257,20.085386,38.2044, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Female, United-States, <=50K
29.056868,133630.27,11.632797,630.83856,51.987675,43.258873, Private, Bachelors, Never-married, Sales, Own-child, White, Male, United-States, <=50K
32.67509,495605.97,10.886984,-1928.2808,62.59236,51.670357, Private, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, White, Female, United-States, <=50K
27.392773,79944.18,10.508425,-573.6213,1.5738269,29.902061, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
48.801216,348401.75,9.797015,742.5604,61.84649,21.420424, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, <=50K
29.650648,256593.78,3.8594828,-748.1191,-31.48855,39.725986, Private, Some-college, Never-married, Other-service, Own-child, White, Male, United-States, <=50K
43.244877,244908.3,6.6414833,1531.9377,49.29391,32.577755, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male, United-States, <=50K
35.9184,293420.34,6.906086,1327.4752,-5.731387,38.39916, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
23.926413,180273.75,11.074613,1015.86005,143.43922,42.06502, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
32.345974,120273.91,9.179405,1256.0585,86.14719,36.708942, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female, United-States, <=50K
27.63175,225737.48,12.012255,142.47919,-4.843013,35.149597, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female, United-States, <=50K
22.797365,376768.75,9.876009,1028.4551,-20.121462,31.658878, Private, HS-grad, Never-married, Other-service, Own-child, White, Female, United-States, <=50K
40.057053,199457.44,11.416578,-421.71576,18.350363,43.789917, Private, Some-college, Divorced, Exec-managerial, Husband, White, Male, United-States, <=50K
59.25533,243222.19,13.654113,5527.001,200.28853,32.111633, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
78.1754,134077.42,8.402604,5643.69,334.56497,27.466806, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
51.9719,226927.78,6.481669,699.9505,40.70936,48.158348, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
34.611767,96732.62,10.487847,1921.9169,66.20673,44.38206, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
41.333084,134659.27,12.240458,769.438,284.6521,43.49302, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, <=50K
39.586773,112810.5,12.204175,2985.1797,135.038,35.59435, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
43.696323,116748.07,13.320418,2727.0159,-35.42667,48.51766, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
14.60991,159308.11,10.804338,-1424.3975,-4.385783,24.365782, Private, Some-college, Never-married, Other-service, Own-child, White, Female, United-States, <=50K
30.746742,214237.56,9.698744,-143.14337,8.602338,47.501274, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Male, United-States, <=50K
23.264582,215592.77,11.915255,4829.1655,-90.531715,48.77274, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
48.870968,262585.47,14.416122,1213.4105,1119.694,43.405666, Private, Bachelors, Divorced, Prof-specialty, Unmarried, White, Female, United-States, <=50K
23.165113,155646.73,8.86229,1507.1543,-34.96059,36.21314, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male, United-States, <=50K
28.176962,127833.94,8.802378,-121.83173,-5.8061247,36.112343, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female, United-States, <=50K
36.375935,130248.0,10.482121,576.3954,166.7803,48.631657, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Male, United-States, <=50K
55.257465,151439.08,7.072017,-589.44965,-38.626286,31.182392, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female, United-States, <=50K
24.501606,120886.766,11.450222,1696.9675,-46.669415,35.056458, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
34.572823,186187.61,9.54268,2837.022,138.44066,33.993484, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
52.799404,164137.39,8.297469,3296.9338,-15.320445,42.96086, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
47.939438,251123.03,10.376615,1019.575,-9.402171,34.86499, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, <=50K
58.311165,191287.33,8.029314,5829.9014,-25.648851,44.69529, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
30.566378,208883.05,8.092736,1277.1127,-33.41701,32.461098, Private, Some-college, Never-married, Craft-repair, Own-child, White, Male, United-States, <=50K
28.100407,148937.4,5.2605557,-335.4743,25.145803,30.130966, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, <=50K
31.515402,133238.61,6.718772,-616.13007,66.87136,44.019646, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
29.558853,135013.23,11.9361925,-8.896183,35.657097,48.889164, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Male, United-States, <=50K
45.73759,144510.48,8.791829,378.04163,32.16818,42.72105, Private, HS-grad, Divorced, Exec-managerial, Unmarried, White, Female, United-States, <=50K
54.065765,264543.3,4.5186353,-644.38934,32.06662,43.08523, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
29.742716,177504.75,6.9574394,457.13184,-57.96121,31.08542, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male, United-States, <=50K
31.07745,6313.641,12.718053,603.2052,52.72947,53.801323, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Male, United-States, <=50K
34.062332,151473.39,11.242405,3132.9944,-17.760294,52.699883, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
31.494986,159709.62,8.906706,-304.18707,31.403887,47.953304, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
20.002308,284692.3,7.708477,3785.5923,9.742124,27.657215, Private, HS-grad, Never-married, Other-service, Own-child, White, Male, United-States, <=50K
20.312943,205142.05,9.011343,-1211.4197,-47.439037,27.68447, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Male, United-States, <=50K
40.962734,216965.34,11.597246,2565.8513,370.2584,34.522076, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
27.610458,450243.28,9.62151,-1249.9341,-17.328127,52.896923, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
29.150434,133267.22,11.304475,-596.0511,14.899297,38.49497, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female, United-States, <=50K
30.340185,241347.27,6.546013,35.120296,36.256866,46.19681, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
41.530212,159640.34,7.5778055,1881.6155,296.69205,55.669655, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male, United-States, <=50K
26.480864,226835.22,7.8999505,2768.947,18.214392,37.77701, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male, United-States, <=50K
31.461267,237137.62,9.307828,1611.1903,-54.506664,53.256813, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
39.239025,159006.97,10.440966,1020.6326,35.559105,43.684624, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
42.25822,216397.12,10.158115,1233.1521,-8.983592,47.446045, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
23.800194,430556.3,10.252945,999.3536,-24.628061,43.73935, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female, United-States, <=50K
44.456287,133364.0,12.395868,-442.44672,85.84648,35.458748, Private, Bachelors, Married-civ-spouse, Prof-specialty, Unmarried, White, Female, United-States, <=50K
25.558035,242465.58,7.0505095,5.517025,-39.44334,39.130527, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Male, United-States, <=50K
26.312042,165354.73,10.165791,1824.7604,109.85708,44.94507, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
51.762936,119834.15,10.194557,311.78583,8.428525,44.83718, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male, United-States, <=50K
31.655796,275859.38,7.7313905,-625.43256,-17.744616,45.83732, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
43.33815,428461.22,7.7225423,905.1912,18.761305,40.88984, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Male, United-States, <=50K
37.413506,163747.19,10.069592,5016.8965,-104.34493,26.027561, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
41.56988,107899.086,7.265376,818.1913,-5.694812,28.718554, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
23.569693,168661.94,12.217479,2103.2358,-43.861416,34.924183, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female, United-States, <=50K
25.544476,152268.34,9.654844,1328.0359,-86.539375,41.775208, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Male, United-States, <=50K
31.99823,161142.02,10.017019,268.00366,-12.021022,37.004494, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Male, United-States, <=50K
28.043024,149408.03,12.3905735,1034.4635,17.44377,56.088406, Private, Bachelors, Married-civ-spouse, Exec-managerial, Own-child, White, Female, United-States, <=50K
57.02573,94034.63,9.813258,7289.813,235.82341,56.258095, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male, United-States, <=50K
24.734247,111982.33,8.708441,1069.078,-36.192577,31.316568, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male, United-States, <=50K
41.752693,232579.78,14.941772,3455.7642,81.965645,64.20273, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
25.482096,239010.4,9.5803,-731.45087,148.44878,43.217003, Private, Some-college, Married-civ-spouse, Craft-repair, Own-child, White, Male, United-States, <=50K
43.89725,144299.62,6.8089466,2009.4246,34.03529,36.537262, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male, United-States, >50K
41.972343,349216.12,8.921545,13228.395,-28.480745,49.530457, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
15.450322,231755.61,11.780704,-415.59918,149.52895,48.260178, Private, Bachelors, Married-civ-spouse, Prof-specialty, Own-child, White, Female, United-States, <=50K
50.53792,157180.11,4.836938,800.6118,-0.2034253,31.830538, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male, United-States, <=50K
33.92573,148133.31,12.463226,2302.544,-0.80077636,48.512024, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Male, United-States, <=50K
29.709648,339480.94,8.363869,869.06555,106.15919,42.405678, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Female, United-States, <=50K
36.88407,155805.39,11.85001,3648.154,148.59956,36.801556, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
43.089005,118441.836,10.729481,5644.923,196.53986,31.326672, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Female, United-States, <=50K
24.581724,247816.23,9.963867,908.6414,6.682996,29.480526, Private, HS-grad, Never-married, Other-service, Own-child, White, Female, United-States, <=50K
