39, 77516, 13, 2174, 0, 40, State-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male, United-States, <=50K
25.747776,120790.23,6.625031,-412.0534,3.6244936,32.41773, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male, United-States, <=50K
42.481968,217117.9,8.724178,4383.0635,61.84086,35.07697, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
45.353474,162397.9,15.133555,81.80193,-99.925835,63.07405, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
44.683815,271880.12,10.472388,-947.21,-45.99098,43.72267, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male, United-States, <=50K
42.45309,194457.58,5.2682014,1044.0391,49.56,37.492832, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male, United-States, <=50K
31.127539,139399.61,6.168866,50.050472,-65.35995,35.417767, Private, HS-grad, Never-married, Other-service, Own-child, White, Female, United-States, <=50K
46.84588,204469.53,11.045586,-520.8455,-40.69926,31.300194, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Female, United-States, <=50K
52.114746,186371.6,8.066957,4289.9995,80.40896,23.496756, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female, United-States, <=50K
35.24487,357325.62,5.1259465,-924.1409,5.2382326,14.472427, Private, HS-grad, Never-married, Other-service, Own-child, White, Female, United-States, <=50K
47.33266,172036.25,11.84838,1991.0369,315.05264,40.585815, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
42.764977,239358.88,11.284342,1078.6213,43.47611,41.773624, Private, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male, United-States, <=50K
44.403767,210966.08,13.788193,-3738.3,-6.0776167,41.963886, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
35.175373,90771.68,12.53813,2080.923,-25.446833,33.755573, Private, Bachelors, Never-married, Exec-managerial, Unmarried, White, Female, United-States, <=50K
32.626503,1059.0631,10.930826,-18.955875,99.143,32.947826, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
38.058025,109762.1,11.127779,-1000.96405,-0.8371457,44.596756, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
18.680346,82436.37,6.620418,-762.7652,-19.071459,1.980791, Private, Some-college, Never-married, Other-service, Own-child, White, Male, United-States, <=50K
33.922955,46039.156,12.289193,-341.43817,26.321554,48.88249, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male, United-States, <=50K
17.248922,208102.86,6.6054163,-1352.7227,-13.881572,17.75642, Private, Some-college, Never-married, Other-service, Not-in-family, White, Male, United-States, <=50K
36.23722,102236.75,11.580528,-2205.1875,44.367393,52.92648, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
33.21889,203866.05,6.974689,355.35797,-2.1581678,37.32736, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Male, United-States, <=50K
33.272987,210220.94,5.6585097,-743.7415,44.676357,29.45245, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male, United-States, <=50K
28.524687,99493.89,12.994934,-1490.5854,38.77116,44.632557, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, <=50K
66.80667,201480.27,7.6160736,2973.988,14.7942705,31.598259, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male, United-States, <=50K
54.889626,176775.22,7.255536,-1606.842,75.35027,38.80021, Private, HS-grad, Divorced, Other-service, Husband, White, Male, United-States, <=50K
38.741016,256111.39,9.209926,-2575.1414,12.969945,44.922718, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
48.450848,305224.97,6.7281356,-1626.3777,118.11155,38.573963, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
