39, 77516, 13, 2174, 0, 40, State-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male, United-States, <=50K
41.884426,338528.1,12.852431,-147.79327,562.5833,50.143906, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
48.723377,50123.062,7.7870207,-444.18475,26.924036,22.859646, Private, 12th, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States, <=50K
32.644775,255950.89,9.910622,979.7031,836.66846,39.97543, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female, United-States, <=50K
40.17648,73219.12,12.699451,2556.8904,-22.945757,49.915993, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Unmarried, White, Male, United-States, <=50K
40.427864,166680.08,12.442575,-173.76788,31.227926,30.099865, Private, Assoc-acdm, Married-civ-spouse, Other-service, Husband, White, Male, United-States, <=50K
30.28372,209832.64,8.132688,-344.8283,29.309927,38.387527, Private, HS-grad, Married-spouse-absent, Farming-fishing, Unmarried, White, Male, United-States, <=50K
59.875927,135680.81,8.915475,2130.985,73.03876,45.41142, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Female, United-States, <=50K
33.782562,323694.66,9.113675,824.82324,-16.867563,40.81879, Private, HS-grad, Married-spouse-absent, Adm-clerical, Other-relative, White, Male, United-States, <=50K
39.895878,348039.28,11.901851,359.18286,17.194616,41.432156, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male, United-States, >50K
53.66656,113326.92,6.9336495,594.0364,-15.027507,54.256405, Private, 12th, Never-married, Priv-house-serv, Not-in-family, White, Female, United-States, <=50K
43.934334,186626.16,16.686636,3606.103,1495.5256,39.42446, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
35.000202,368835.25,10.783466,576.6039,-39.58959,38.45329, Private, Assoc-voc, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, <=50K
27.419085,212657.44,10.393884,-16.338078,18.682302,23.803675, Private, Assoc-acdm, Never-married, Other-service, Own-child, White, Female, United-States, <=50K
24.375895,165196.25,9.390919,1594.2385,16.50627,49.327946, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male, United-States, <=50K
50.110455,323944.12,12.614331,-485.4583,-29.945856,59.173702, Private, Bachelors, Widowed, Protective-serv, Unmarried, White, Female, United-States, <=50K
59.09666,353809.66,5.855485,-1201.2009,191.60468,29.199709, Private, 12th, Married-civ-spouse, Machine-op-inspct, Other-relative, White, Male, United-States, <=50K
21.915813,86712.94,9.546286,560.224,-28.12115,39.13074, Private, 12th, Never-married, Adm-clerical, Own-child, White, Male, United-States, <=50K
47.49004,221338.2,15.417389,305.02032,35.44262,38.636646, Private, Bachelors, Widowed, ?, Not-in-family, White, Male, United-States, <=50K
54.66559,106173.234,12.078739,2125.092,1587.6628,32.245422, Private, Assoc-acdm, Divorced, Exec-managerial, Not-in-family, White, Male, United-States, >50K
45.696507,196410.1,6.5217557,-519.0407,71.09473,48.039207, Private, 12th, Married-civ-spouse, Other-service, Not-in-family, White, Male, United-States, <=50K
34.299652,161527.72,12.311398,10912.097,115.12616,53.92097, Private, Bachelors, Married-civ-spouse, Protective-serv, Unmarried, White, Male, United-States, >50K
45.615986,415194.7,7.332468,2777.7234,8.752294,40.686882, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male, United-States, >50K
27.915314,433323.8,8.785792,1134.8137,16.125814,36.53077, Private, 12th, Never-married, Protective-serv, Own-child, White, Male, United-States, <=50K
17.189913,173139.94,9.977914,-494.6999,-26.352945,29.102238, Private, Some-college, Never-married, Prof-specialty, Unmarried, White, Male, United-States, <=50K
24.684973,146867.38,8.021631,951.1759,-14.081897,43.170826, Private, 12th, Never-married, Machine-op-inspct, Not-in-family, White, Male, United-States, <=50K
36.359783,202866.83,8.434802,2068.4504,19.10938,38.84342, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male, United-States, <=50K
58.13495,195949.89,11.418859,386.51666,-7.5653486,54.05139, Private, Assoc-acdm, Divorced, Other-service, Unmarried, White, Female, United-States, <=50K
23.928453,208122.62,12.24363,339.69696,-47.646175,29.057552, Private, Bachelors, Never-married, Other-service, Own-child, White, Male, United-States, <=50K
29.652016,80151.77,12.173765,4002.8242,925.3113,49.58257, Private, Assoc-voc, Married-civ-spouse, Adm-clerical, Own-child, White, Male, United-States, >50K
35.049118,260005.3,5.146759,629.47614,-12.711505,46.372284, Private, 12th, Married-civ-spouse, Handlers-cleaners, Other-relative, White, Male, United-States, <=50K
36.157898,118994.72,9.255355,11707.314,-8.362506,33.30199, Private, 12th, Married-civ-spouse, Tech-support, Husband, White, Male, United-States, >50K
30.738863,56281.953,11.238738,6825.3223,186.59053,49.76351, Private, Assoc-voc, Never-married, Prof-specialty, Unmarried, White, Female, United-States, >50K
32.029312,203276.11,12.936969,1621.4135,-32.178257,35.026226, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Female, United-States, <=50K
53.770092,403138.22,11.808686,325.81183,1.9061481,37.757236, Private, Assoc-acdm, Separated, Adm-clerical, Not-in-family, White, Male, United-States, <=50K
49.0131,114525.99,10.577996,-115.85383,22.907995,47.104393, ?, 12th, Married-civ-spouse, ?, Husband, White, Male, United-States, <=50K
29.905231,170908.44,12.848924,-315.31866,640.59796,48.096836, Private, Bachelors, Married-civ-spouse, Sales, Not-in-family, White, Male, United-States, >50K
25.942719,139042.1,12.706322,-2094.6482,316.52444,68.56853, Private, Assoc-acdm, Never-married, Craft-repair, Unmarried, White, Male, United-States, <=50K
59.125767,122956.12,12.977145,8522.299,1043.479,42.96008, Private, Bachelors, Divorced, Exec-managerial, Unmarried, White, Female, United-States, >50K
39.76535,97847.61,4.4176965,963.08264,-8.741946,35.180958, Private, HS-grad, Married-spouse-absent, Handlers-cleaners, Not-in-family, White, Male, United-States, <=50K
43.303852,103809.75,11.589643,124.97906,600.0161,25.200811, Private, Assoc-acdm, Married-civ-spouse, Tech-support, Husband, White, Male, United-States, >50K
34.315674,75239.12,9.952756,-192.6795,-18.051477,42.328735, Private, Some-college, Married-spouse-absent, Farming-fishing, Husband, White, Male, United-States, <=50K
47.474625,163255.03,12.526733,-154.00348,-10.4748335,39.58861, Private, Assoc-acdm, Never-married, Protective-serv, Own-child, White, Male, United-States, <=50K
53.95637,112243.31,10.204945,518.6011,26.326094,49.24819, Private, Assoc-acdm, Widowed, Adm-clerical, Unmarried, White, Female, United-States, >50K
35.175083,224437.73,6.6459236,96.63006,201.79997,43.363907, Private, 12th, Divorced, Protective-serv, Not-in-family, White, Female, United-States, <=50K
42.350704,147281.1,12.339984,-218.53217,45.030014,34.86562, Private, Assoc-acdm, Divorced, Prof-specialty, Not-in-family, White, Male, United-States, <=50K
64.55757,141501.45,10.0103035,4143.2065,52.54721,51.730404, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States, <=50K
33.758846,110833.34,4.9788327,-212.11469,37.624016,35.857174, Private, 12th, Married-civ-spouse, Tech-support, Husband, White, Male, United-States, <=50K
61.68811,180409.1,5.4508033,1644.3523,154.81914,39.58487, Private, HS-grad, Married-spouse-absent, Machine-op-inspct, Not-in-family, White, Male, United-States, <=50K
40.980133,200485.81,10.673933,47.538265,-51.18266,49.48999, Private, Assoc-voc, Never-married, Protective-serv, Not-in-family, White, Male, United-States, <=50K
9.342811,340835.22,8.819174,1481.2512,77.51245,30.792908, Private, Some-college, Never-married, Machine-op-inspct, Own-child, White, Male, United-States, <=50K
38.395664,130390.16,12.987793,5155.855,13.508626,47.48262, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Female, United-States, >50K
37.657154,71191.04,12.238945,1340.9729,61.170155,39.090794, Private, Assoc-acdm, Never-married, Priv-house-serv, Other-relative, White, Female, United-States, <=50K
37.752125,388740.06,9.188956,1170.4283,19.521208,42.80779, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male, United-States, <=50K
51.560467,138675.6,6.225318,-796.1673,27.12485,44.783875, Private, 12th, Married-civ-spouse, Tech-support, Husband, White, Male, United-States, <=50K
