39, 77516, 13, 2174, 0, 40, State-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male, United-States, <=50K
43.131042,194912.72,11.584331,649.5808,-19.63373,40.47497, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Male, United-States, <=50K
30.757048,55483.812,10.774254,9659.384,87.90176,49.439766, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Female, United-States, >50K
45.847206,121892.17,14.256254,3344.6013,172.70674,54.768806, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female, United-States, >50K
43.097065,288871.28,12.20838,5243.2485,95.92111,38.90883, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, <=50K
31.092735,265342.16,9.795534,116.11114,38.915634,42.36849, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female, United-States, <=50K
51.107857,111567.28,13.1508465,585.74536,291.42303,51.045662, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
29.891449,110762.97,11.60516,236.69537,-4.370219,34.873753, Private, HS-grad, Never-married, Other-service, Own-child, White, Female, United-States, <=50K
28.341309,132284.25,7.8142867,638.2594,-2.0869246,47.249336, Private, Some-college, Married-civ-spouse, Other-service, Wife, White, Female, United-States, <=50K
53.110416,137212.22,8.2013,-176.54486,36.63167,54.81011, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
21.978025,215633.28,11.457376,-1143.9963,28.860449,14.558975, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female, United-States, <=50K
67.998856,180029.03,12.454328,2498.9407,12.576695,34.988964, Private, Bachelors, Divorced, Exec-managerial, Own-child, White, Male, United-States, <=50K
43.210636,321032.47,11.365471,1195.2317,38.96445,38.646828, Private, HS-grad, Divorced, Sales, Unmarried, White, Female, United-States, <=50K
38.00454,279523.5,11.589191,754.5223,15.759885,15.399565, Private, Bachelors, Never-married, ?, Own-child, White, Male, United-States, <=50K
42.952408,246517.34,10.49586,191.59814,18.294256,42.27566, Private, Bachelors, Never-married, Sales, Not-in-family, White, Male, United-States, <=50K
22.850807,285336.62,12.470045,1526.0881,97.87769,45.499416, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male, United-States, <=50K
17.147976,176713.92,7.5265145,597.0269,23.385134,34.765793, Private, Some-college, Never-married, Other-service, Own-child, White, Male, United-States, <=50K
32.331497,146011.83,10.226101,-733.1182,-5.88309,21.543703, Private, Some-college, Never-married, Other-service, Own-child, White, Female, United-States, <=50K
40.3931,190947.06,9.064149,6.1311607,-6.335696,32.50855, Private, Some-college, Never-married, ?, Not-in-family, White, Male, United-States, <=50K
31.669653,200926.94,6.731512,1552.682,5.7401476,36.66913, Private, HS-grad, Never-married, Other-service, Husband, White, Male, United-States, <=50K
56.651104,343373.25,10.196065,904.80884,-19.334269,30.397327, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, <=50K
36.607197,112036.64,8.782226,-539.0534,168.10513,39.58491, Private, Some-college, Never-married, Other-service, Husband, White, Male, United-States, <=50K
41.1295,154041.58,8.163389,-982.7448,141.95956,38.525826, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
39.60563,173189.64,11.128792,-933.2874,-29.182375,37.842636, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, <=50K
44.682404,44617.406,12.078921,331.3094,141.8295,30.980322, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, <=50K
65.894066,108512.836,12.442842,-862.21075,264.4168,34.751625, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
36.485466,238101.61,9.342002,701.0752,-12.017962,31.409334, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male, United-States, <=50K
41.492096,312596.9,11.436089,1692.0586,117.92578,50.115376, Private, HS-grad, Divorced, Exec-managerial, Unmarried, White, Female, United-States, <=50K
27.80406,349136.06,10.364262,5316.6875,29.811102,32.564785, Private, HS-grad, Divorced, Adm-clerical, Own-child, White, Male, United-States, <=50K
25.679502,111642.9,7.7714567,-679.93964,177.44528,49.010815, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Male, United-States, <=50K
33.421307,101849.375,10.199275,858.8854,89.485085,45.173996, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
31.139338,216825.06,10.214577,1457.2303,-62.34753,55.649227, Private, Some-college, Divorced, Prof-specialty, Unmarried, White, Male, United-States, <=50K
39.29459,263188.44,9.986553,-80.0467,284.06918,37.772335, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
36.570404,80627.75,11.2900715,390.5974,63.47176,42.08017, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
43.660187,112667.34,14.141634,10083.459,-70.39179,48.770584, Private, Bachelors, Divorced, Prof-specialty, Unmarried, White, Female, United-States, >50K
48.53005,174682.72,3.489399,-124.10554,46.044044,20.701231, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male, United-States, <=50K
36.355446,197937.52,11.749791,-1799.9851,58.88686,56.283714, Private, Bachelors, Never-married, Sales, Not-in-family, White, Male, United-States, <=50K
37.053818,114863.414,10.357147,5831.5996,421.40076,47.492516, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
26.732883,179692.86,9.882968,-1163.7722,64.93505,52.127045, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
37.309227,71654.734,11.578755,711.08954,-1.7267026,46.170753, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, <=50K
21.709597,171566.4,11.471092,131.00409,62.614258,20.105885, Private, Bachelors, Divorced, Adm-clerical, Unmarried, White, Female, United-States, <=50K
36.141354,112706.49,12.242739,559.4091,-77.326515,34.568928, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female, United-States, <=50K
21.705893,91771.0,8.152191,-273.26752,187.31741,44.41283, Private, HS-grad, Never-married, Other-service, Own-child, White, Male, United-States, <=50K
16.237108,183366.5,9.9812975,462.21313,61.80069,29.58481, Private, HS-grad, Never-married, Other-service, Own-child, White, Female, United-States, <=50K
53.75832,342294.38,11.305946,-787.7978,71.43221,36.652542, Private, Bachelors, Divorced, Exec-managerial, Unmarried, White, Male, United-States, <=50K
41.34656,201581.45,12.16133,278.74994,-24.6625,61.175053, Private, Bachelors, Married-civ-spouse, Adm-clerical, Unmarried, White, Female, United-States, <=50K
35.86948,357514.4,10.645745,440.51935,-27.543497,49.89592, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
24.26711,126164.195,11.161998,-747.14105,21.046644,30.8231, Private, Bachelors, Never-married, Prof-specialty, Unmarried, White, Female, United-States, <=50K
21.327202,83722.7,9.861607,2456.4204,97.22606,24.185581, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female, United-States, <=50K
35.82548,186919.7,12.828678,447.3205,-11.183101,50.206863, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male, United-States, >50K
42.106934,285152.22,10.523442,1268.7227,-37.55173,29.55969, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
48.751415,237048.06,9.862658,1890.0671,141.35979,43.81352, Private, HS-grad, Divorced, Exec-managerial, Unmarried, White, Female, United-States, <=50K
