39, 77516, 13, 2174, 0, 40, State-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male, United-States, <=50K
47.93048,20694.5,9.084712,5722.52,-1.797717,67.56196, Private, HS-grad, Divorced, Protective-serv, Unmarried, White, Male, United-States, >50K
19.209328,534532.94,10.267893,408.81036,-41.136883,36.12652, Private, Assoc-acdm, Never-married, Adm-clerical, Other-relative, White, Female, United-States, <=50K
51.70201,177139.2,8.935921,646.0607,-6.6750593,31.122492, Private, HS-grad, Married-civ-spouse, Other-service, Unmarried, White, Male, United-States, <=50K
44.014843,252369.6,10.215705,-621.34906,-18.32702,54.71513, Self-emp-inc, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female, United-States, <=50K
27.099522,192603.47,12.667579,1149.6932,-62.980465,37.393402, Private, Bachelors, Never-married, Tech-support, Not-in-family, White, Male, United-States, <=50K
34.15622,304264.75,9.849852,2623.6365,677.5005,49.68348, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, <=50K
42.25776,379578.53,8.736027,5.1793785,-15.228633,36.55177, Private, HS-grad, Separated, Other-service, Unmarried, White, Male, United-States, <=50K
62.83854,269941.2,9.479752,6121.038,-33.131123,58.838448, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Male, United-States, >50K
34.131783,2959.532,12.796213,497.00354,-32.49526,25.103533, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
27.521687,164159.22,9.8854065,566.8274,-40.93957,30.966507, Private, Some-college, Never-married, Other-service, Own-child, White, Male, United-States, <=50K
58.099777,262063.33,5.9955344,1809.9982,-28.79783,31.810795, Private, Some-college, Married-civ-spouse, Protective-serv, Other-relative, White, Male, United-States, <=50K
34.3776,147739.14,8.946086,1597.0323,-12.351245,79.3207, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
44.21701,366592.4,10.593585,738.595,-18.532595,38.50907, Local-gov, Assoc-acdm, Married-civ-spouse, Farming-fishing, Husband, White, Male, United-States, >50K
40.239864,103439.36,10.133354,509.1494,-38.39699,40.27012, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Male, United-States, >50K
68.50271,86569.586,9.808204,827.63776,15.678937,40.85963, Local-gov, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
55.77953,82070.78,9.860952,2018.2728,214.43616,37.500797, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
35.16419,174311.67,9.107374,1403.7393,-41.74261,52.584297, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
25.37092,161590.83,14.039119,481.15375,10.212651,49.70806, ?, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male, United-States, >50K
29.134542,166004.0,9.877174,19.949276,-49.96417,42.34068, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Male, United-States, <=50K
60.775345,37685.438,9.676617,3044.13,33.886383,42.63428, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States, <=50K
22.817776,150338.02,8.558004,-14.633488,-35.90607,44.74527, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
31.491867,208331.58,8.581161,-123.33405,7.359502,55.13891, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male, United-States, <=50K
15.870133,186621.42,8.596477,59.835445,-29.200861,11.35326, Private, HS-grad, Never-married, Sales, Own-child, White, Female, United-States, <=50K
33.970875,162018.75,8.836954,444.53125,-0.21192445,58.486046, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, <=50K
49.320908,256025.44,11.848415,-73.080025,44.257935,37.70653, Local-gov, Assoc-acdm, Married-spouse-absent, Exec-managerial, Not-in-family, White, Female, United-States, <=50K
23.89858,90749.45,13.6430645,1261.0287,17.664152,40.54613, Private, Bachelors, Married-civ-spouse, Tech-support, Wife, White, Female, United-States, <=50K
58.152668,28894.922,9.286488,102.053764,-30.502207,35.744667, Private, HS-grad, Widowed, Craft-repair, Unmarried, White, Male, United-States, <=50K
37.802883,227549.53,9.000367,1105.1215,-7.2132597,42.21787, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States, <=50K
29.15192,192755.81,10.725665,1753.7499,5.2907305,65.67785, Private, Assoc-voc, Married-civ-spouse, Adm-clerical, Own-child, White, Male, United-States, <=50K
44.437473,66321.49,10.128239,3876.993,5.4331713,49.072624, Self-emp-not-inc, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male, United-States, <=50K
17.686058,153293.6,9.447325,781.00885,11.715604,35.7896, Private, Some-college, Never-married, ?, Own-child, White, Female, United-States, <=50K
22.596146,375767.9,9.241402,281.719,-52.231014,74.45144, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
32.808407,330566.6,9.40545,207.1402,-8.651309,40.95926, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male, United-States, <=50K
17.782991,363090.72,9.804054,1874.8466,16.13928,17.75579, ?, Some-college, Never-married, Adm-clerical, Own-child, White, Female, United-States, <=50K
40.588085,61587.703,9.582599,3691.7573,-46.705883,57.82601, Private, HS-grad, Married-civ-spouse, Adm-clerical, Unmarried, White, Male, United-States, >50K
33.180225,122223.22,12.81586,816.6936,-41.781734,46.608196, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
18.490986,96475.21,9.923786,335.44336,3.754552,35.43121, Private, Some-college, Never-married, Sales, Own-child, White, Female, United-States, <=50K
30.768599,151320.83,12.852065,1438.4326,-39.994877,44.872192, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
24.602974,233199.05,13.1391735,6423.5103,-12.702205,66.83138, Private, Bachelors, Never-married, Protective-serv, Not-in-family, White, Male, United-States, >50K
38.424603,120432.71,12.61282,-23.939762,-40.634678,34.64873, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female, United-States, <=50K
24.087215,150417.98,8.785618,-53.85712,-28.64992,46.94143, Self-emp-inc, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Male, United-States, <=50K
45.518074,379691.4,8.930121,751.2857,-1.6678952,35.495472, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States, >50K
22.740555,159418.05,13.926494,4277.5596,-37.43346,26.907112, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male, United-States, >50K
32.361485,315323.8,13.439294,1315.9369,-48.902813,39.344143, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
45.568886,83376.41,13.620508,2257.5986,-8.814136,60.202587, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
18.71596,189376.45,9.85701,345.6194,2.2683077,13.877119, Federal-gov, Some-college, Never-married, Machine-op-inspct, Own-child, White, Female, United-States, <=50K
65.20664,165694.89,9.025825,-154.10846,-13.668834,35.19662, Private, HS-grad, Divorced, Adm-clerical, Own-child, White, Female, United-States, <=50K
20.337065,291477.94,9.884215,1652.2418,35.53155,42.421032, ?, Some-college, Never-married, ?, Own-child, White, Female, United-States, <=50K
33.52924,309656.7,9.946592,-64.370186,15.224057,33.31085, Private, Some-college, Widowed, Exec-managerial, Not-in-family, White, Female, United-States, <=50K
73.70627,175365.39,10.149288,33.268246,-35.130276,27.212662, Private, Some-college, Widowed, Sales, Husband, White, Male, United-States, <=50K
27.521185,264490.22,9.53246,2799.9934,82.60112,42.335514, Private, Some-college, Never-married, Sales, Husband, White, Male, United-States, <=50K
16.679325,194173.77,5.050268,-103.60273,-8.186984,40.283936, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male, United-States, <=50K
52.398365,84939.26,8.793503,904.9485,1850.1215,61.686935, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States, >50K
21.678679,332015.16,2.7485309,296.17938,-33.14632,35.470955, Private, Some-college, Never-married, ?, Not-in-family, White, Female, United-States, <=50K
28.801424,117190.01,10.263448,253.76721,25.584795,32.989594, Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, White, Female, United-States, >50K
59.931644,343288.75,9.032264,-49.6695,-55.54124,32.98567, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Own-child, White, Female, United-States, <=50K
16.489779,185298.25,9.014322,631.8794,-33.4288,37.31447, Private, HS-grad, Never-married, Other-service, Own-child, White, Male, United-States, <=50K
31.484013,172268.39,9.247203,988.88916,-7.3858137,46.186504, Private, HS-grad, Divorced, Transport-moving, Unmarried, White, Male, United-States, <=50K
21.029234,140750.97,9.864084,860.98206,-12.948421,40.38501, Private, Some-college, Never-married, Protective-serv, Own-child, White, Male, United-States, <=50K
25.793127,234222.05,9.646746,1359.2866,-28.458338,38.219746, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male, United-States, <=50K
31.46216,242217.08,8.771082,-236.61945,-25.891504,31.168821, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
35.220806,107778.67,12.584943,1197.9989,-23.078638,42.889004, Self-emp-inc, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Male, United-States, >50K
24.031057,318032.47,7.61463,1315.2926,-24.195833,25.24564, Private, HS-grad, Never-married, Other-service, Own-child, White, Male, United-States, <=50K
32.815323,77246.305,12.612676,667.13025,-20.64081,48.008022, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States, >50K
43.52501,228319.83,13.819052,2920.132,32.871605,44.361145, Local-gov, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States, <=50K
32.783104,173725.44,9.743213,655.7824,-5.6815367,47.164078, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, United-States, >50K
58.314587,154983.02,12.97223,1899.28,-4.1776915,51.31133, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
36.818584,340822.16,12.611784,362.15582,-35.80808,42.716892, Private, Assoc-acdm, Never-married, Prof-specialty, Not-in-family, White, Female, United-States, <=50K
