39, 77516, 13, 2174, 0, 40, State-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male, United-States, <=50K
46.18848,121427.87,4.380032,252.4104,-20.156282,57.01696, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
20.09428,379772.12,9.7035475,-214.11945,16.98837,24.138765, Private, Some-college, Never-married, ?, Unmarried, White, Female, United-States, <=50K
50.73162,195669.48,8.36171,622.6168,-52.416943,39.052685, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, White, Female, United-States, <=50K
32.31354,205279.73,9.53203,-443.56525,15.340634,64.17882, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
27.691347,115046.32,9.931044,-39.41193,-39.899258,44.656624, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female, United-States, >50K
36.999035,168821.17,14.677701,-273.1153,10.138867,40.81778, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
33.30158,64642.594,12.118237,934.754,9.999059,41.91865, Private, Assoc-voc, Never-married, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
24.789196,402650.3,8.193577,689.4285,1.4487125,18.758839, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male, United-States, <=50K
36.399853,224582.64,11.3852005,971.9288,19.844168,41.247623, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male, United-States, <=50K
28.720152,415823.62,14.743921,1034.0227,8.181188,52.067142, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male, United-States, <=50K
31.107994,50953.58,13.359434,892.5744,-10.7693815,61.85417, Private, Bachelors, Never-married, Sales, Not-in-family, White, Female, United-States, <=50K
32.214157,33418.516,9.078947,-460.71405,-13.518725,41.12046, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States, <=50K
36.261414,229577.0,13.089971,135.36188,-10.206721,42.715397, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Female, United-States, <=50K
31.326523,39851.72,11.617255,-227.6419,4.9161654,38.561195, Private, Assoc-voc, Divorced, Adm-clerical, Unmarried, White, Female, United-States, <=50K
60.74189,90636.32,8.252162,425.20422,11.496221,43.152523, Private, HS-grad, Divorced, ?, Not-in-family, White, Male, United-States, <=50K
21.981045,81769.89,9.481622,444.99207,6.1697664,35.210693, Private, Some-college, Never-married, Machine-op-inspct, Own-child, White, Male, United-States, <=50K
27.320168,186526.94,9.286133,673.25146,-4.209361,51.35434, Private, HS-grad, Married-civ-spouse, Sales, Unmarried, White, Female, United-States, <=50K
36.90653,79597.91,10.203162,2433.5383,-1.1718014,34.855022, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States, >50K
42.65111,155404.44,10.560569,1204.605,-40.653744,43.553802, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Female, United-States, >50K
63.57841,154737.88,7.202855,-191.83942,-17.740068,34.37345, Private, HS-grad, Married-civ-spouse, ?, Husband, White, Male, United-States, <=50K
33.731945,231080.02,13.137714,288.05615,4.020253,43.05515, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, <=50K
16.961672,281519.2,7.1932607,108.550896,-0.48060882,19.190723, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male, United-States, <=50K
26.848238,93132.05,12.592616,-173.86151,-31.667528,26.689943, Private, Bachelors, Never-married, Sales, Own-child, White, Female, United-States, <=50K
46.7776,161743.9,11.738152,-167.03375,1.9792453,38.9391, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, <=50K
46.720768,146460.05,13.770938,1384.54,16.258886,34.94287, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
47.881504,100025.52,9.340989,574.43164,39.108055,37.105724, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
42.750908,352132.47,9.448208,1632.7885,4.3035173,39.515003, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Female, United-States, >50K
31.037895,229959.72,10.098699,1157.4309,17.264769,33.72193, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Male, United-States, <=50K
47.494656,285113.53,9.259555,-28.94196,-12.922816,40.44792, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female, United-States, <=50K
17.172237,75303.51,9.659531,253.66211,17.0772,25.343855, Private, Some-college, Never-married, ?, Own-child, White, Female, United-States, <=50K
45.198032,124026.56,9.546289,1515.276,27.17673,67.60695, Private, HS-grad, Divorced, Machine-op-inspct, Not-in-family, White, Male, United-States, <=50K
21.774075,146944.92,9.7914095,-616.06354,13.47247,37.84642, Private, Some-college, Never-married, ?, Own-child, White, Female, United-States, <=50K
