39, 77516, 13, 2174, 0, 40, State-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male, United-States, <=50K
51.29367,117044.49,5.8624063,-1505.3184,12.523648,36.169888, Local-gov, 10th, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
25.182217,39734.53,13.00824,535.68866,2.7874117,35.70227, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
21.895481,311730.3,10.076537,356.32336,18.814077,44.310757, ?, Some-college, Never-married, Tech-support, Own-child, White, Male, United-States, <=50K
50.26335,203003.06,9.1446295,441.77692,0.20561706,40.979504, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male, United-States, <=50K
19.09425,297428.22,7.152222,511.2577,1.9245044,27.405155, Private, 10th, Never-married, Handlers-cleaners, Own-child, White, Male, United-States, <=50K
30.941198,35181.39,13.084086,-116.92878,-25.94565,41.926247, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Female, United-States, <=50K
50.639305,177436.77,10.032577,952.26965,-9.639506,49.903744, Private, Some-college, Married-civ-spouse, Farming-fishing, Wife, White, Female, United-States, >50K
45.08337,256376.4,9.060682,597.82996,-7.9640837,40.474934, Local-gov, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male, United-States, >50K
18.35697,258853.73,13.052586,6109.4033,-25.673151,39.234154, Local-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female, United-States, >50K
45.06164,195529.8,9.943262,737.03,-5.168048,38.06593, Local-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
73.46182,258346.11,15.631021,67393.55,-40.80308,57.452873, ?, Masters, Divorced, Prof-specialty, Other-relative, White, Female, United-States, >50K
35.08315,101579.75,10.50944,-612.2636,0.09466277,38.330666, Private, Assoc-voc, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
48.371243,197829.84,12.237072,4297.943,-18.704325,43.954144, Self-emp-not-inc, Masters, Divorced, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
31.90595,452463.38,9.066037,456.07214,-17.380823,48.771687, Self-emp-not-inc, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male, United-States, <=50K
58.96466,308549.72,9.151614,-62.89777,3.6582384,56.86407, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
49.590664,209334.4,9.144162,-201.01434,-11.088908,36.68285, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
