39, 77516, 13, 2174, 0, 40, State-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male, United-States, <=50K
-3.3928154,200741.75,8.063472,991.3651,71.99933,27.616379, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, White, Female, United-States, <=50K
51.020996,-75080.516,10.560168,-660.2032,-55.07214,26.348646, Private, HS-grad, Never-married, Craft-repair, Unmarried, White, Male, United-States, <=50K
51.419167,65432.266,9.789334,-629.6473,123.87869,12.309942, Private, Some-college, Never-married, Machine-op-inspct, Own-child, White, Male, United-States, <=50K
23.349796,250943.86,8.167413,618.0454,18.587942,76.34039, Private, HS-grad, Married-spouse-absent, Protective-serv, Not-in-family, White, Male, United-States, <=50K
30.62557,67623.195,11.590986,-384.13495,101.51785,55.89573, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, <=50K
17.647135,427787.22,9.549732,-264.7874,12.7024355,11.155003, Self-emp-not-inc, HS-grad, Never-married, Sales, Not-in-family, White, Male, United-States, <=50K
79.32639,-37401.97,13.867595,-353.84576,518.43256,-0.6291219, Federal-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female, United-States, <=50K
53.872036,-63693.453,10.14389,-477.081,-32.21278,18.304312, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Male, United-States, <=50K
17.80315,356213.1,9.874901,-293.37213,8.707486,72.689255, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
55.64215,-45590.375,10.48898,-712.83295,9.179509,4.6761646, State-gov, HS-grad, Widowed, Prof-specialty, Not-in-family, White, Female, United-States, <=50K
48.272892,139405.83,10.398932,-8.480778,-48.38725,35.430714, Self-emp-not-inc, Some-college, Divorced, Machine-op-inspct, Not-in-family, White, Male, United-States, <=50K
42.294994,903946.56,9.84142,1048.378,-52.819622,70.9583, Private, HS-grad, Never-married, Sales, Own-child, White, Female, United-States, <=50K
-2.4242675,100379.08,9.879321,1333.7417,32.251534,16.998314, Private, Some-college, Never-married, Protective-serv, Own-child, White, Female, United-States, <=50K
78.27388,74130.45,9.993825,2212.9102,-14.229327,2.8339822, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
77.30861,-178444.08,8.310513,-198.61127,24.822966,-5.8651867, ?, HS-grad, Married-spouse-absent, ?, Not-in-family, White, Male, United-States, <=50K
59.739616,43197.72,12.966325,1179.6914,1.4948932,34.42255, Private, Masters, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States, <=50K
35.858387,674584.8,10.119631,-0.33893228,12.038754,49.38056, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male, United-States, <=50K
30.246428,524996.5,9.004686,1712.4272,59.155838,84.4774, Local-gov, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female, United-States, <=50K
23.189766,709562.4,16.490715,417.575,-42.760952,40.559677, Private, Assoc-acdm, Widowed, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
95.154724,-260717.89,7.687259,-1439.5977,13.685185,-4.105875, Private, HS-grad, Widowed, Craft-repair, Wife, White, Female, United-States, >50K
61.87182,566548.75,8.071334,11092.047,-16.44066,119.61527, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States, >50K
-11.1495905,280568.97,9.460527,1218.3613,17.029158,18.711273, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Male, United-States, <=50K
50.61725,38953.594,12.326636,3007.328,-33.94299,36.728237, Self-emp-inc, Bachelors, Divorced, Sales, Unmarried, White, Female, United-States, <=50K
6.5117717,288868.9,11.666317,931.5015,-17.032274,12.36256, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Female, United-States, <=50K
11.809468,213611.08,8.60753,1094.2523,-18.056551,-10.439993, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, United-States, <=50K
62.557194,-121534.7,12.0142355,31.98785,11.824094,22.041067, Self-emp-inc, Assoc-acdm, Never-married, Craft-repair, Not-in-family, White, Female, United-States, >50K
69.169266,31569.188,11.117209,66.82409,-64.332664,63.94753, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male, United-States, <=50K
86.49415,653323.4,9.275036,-213.1872,-92.347694,10.4292145, ?, HS-grad, Never-married, ?, Own-child, White, Male, United-States, <=50K
47.59466,767226.0,11.035207,-343.4173,-51.593166,15.575769, Private, Bachelors, Never-married, Tech-support, Other-relative, White, Male, United-States, <=50K
67.08302,710504.8,8.666014,-1076.4678,29.453562,21.375088, Private, HS-grad, Married-spouse-absent, Protective-serv, Not-in-family, White, Female, United-States, <=50K
57.48116,48751.17,9.61554,163.32056,-10.554721,28.954815, Self-emp-not-inc, Some-college, Never-married, ?, Not-in-family, White, Female, United-States, <=50K
18.861847,384645.1,14.8665285,408.81946,-65.24131,31.803297, Private, Assoc-voc, Married-civ-spouse, Transport-moving, Husband, White, Female, United-States, <=50K
36.238823,454509.75,9.408726,331.10095,-58.74702,47.341347, Federal-gov, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male, United-States, <=50K
182.74358,-253036.55,9.934524,7714.0015,-375.4898,-0.6680738, ?, HS-grad, Widowed, ?, Not-in-family, White, Female, United-States, <=50K
34.29324,987533.3,9.996704,715.9045,-43.813686,22.221516, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Female, United-States, <=50K
39.723423,174391.44,19.067245,-1045.0847,-3.4387388,19.25197, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female, United-States, <=50K
80.89291,358547.84,10.631007,-849.7354,-17.102442,39.122616, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female, United-States, <=50K
53.974617,449418.0,11.462052,43539.547,-29.236826,35.71404, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
49.593887,218628.33,8.678739,-791.5031,7.072835,59.72433, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, <=50K
59.677666,88951.13,9.53834,-751.6579,-8.376193,48.83066, Private, HS-grad, Never-married, Other-service, Own-child, White, Female, United-States, <=50K
66.1746,107117.89,10.387336,-217.4068,-56.677044,95.79894, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, <=50K
41.310886,139818.66,9.706653,-193.18658,-44.241253,62.650143, Private, Some-college, Separated, Sales, Not-in-family, White, Male, United-States, <=50K
38.395542,114930.11,11.42167,83.43432,82.58676,9.418367, Self-emp-not-inc, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male, United-States, >50K
66.30851,-72390.34,14.479819,-1210.2087,3562.8086,39.89852, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
120.869,156763.19,16.280651,3232.794,-97.426704,57.243324, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
36.157772,1.069743e+06,15.431705,-37.5799,24.362444,39.081776, Private, Assoc-acdm, Divorced, Farming-fishing, Husband, White, Male, United-States, <=50K
61.74408,402289.75,7.794427,1992.0029,2.1785097,76.275826, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
97.09193,477806.7,12.737128,1234.3712,-80.157585,55.626026, Private, Bachelors, Never-married, Adm-clerical, Husband, White, Male, United-States, >50K
