39, 77516, 13, 2174, 0, 40, State-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male, United-States, <=50K
34.150974,262363.38,8.265096,12387.376,-76.803795,68.26949, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male, United-States, >50K
40.46408,148220.23,9.550932,1503.3373,-41.058895,39.069733, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, >50K
40.818584,104236.92,9.581116,3663.2568,-72.01983,41.3935, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
31.037487,111901.945,14.311481,-1263.0139,28.66606,32.383842, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male, United-States, >50K
61.268757,161306.36,10.137313,4689.199,-32.675037,44.788578, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
32.494854,192830.55,9.813224,950.53973,-73.66584,29.691385, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female, United-States, <=50K
42.122005,94592.48,12.585522,-2054.0237,982.82526,37.870605, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
37.49485,134150.88,8.947808,1118.9331,-92.85108,30.285965, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Female, United-States, <=50K
50.589073,160180.05,12.113629,-846.79913,-28.153757,49.752598, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
33.216377,231138.98,6.1510825,78.59252,-38.968548,39.9753, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Female, United-States, >50K
29.137688,279539.47,14.258245,-134.09552,74.02629,42.793037, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male, United-States, <=50K
32.04696,163835.55,9.184472,-667.54803,42.741066,48.892296, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male, United-States, <=50K
44.48385,92894.266,9.237719,425.46667,-89.51006,31.233402, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female, United-States, <=50K
33.974335,132894.47,13.3718195,5514.121,68.5146,58.290653, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male, United-States, >50K
41.191784,205784.53,13.325739,543.47327,-27.830431,48.18377, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
32.27191,177488.5,8.645062,49.32208,-41.552822,47.690224, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Female, United-States, <=50K
22.073954,298782.22,7.603502,-216.36493,48.38685,36.370235, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male, United-States, <=50K
58.89636,73235.62,10.86629,4801.3545,-86.459404,33.388443, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
33.809456,291227.9,10.165389,-736.2786,1604.4175,54.46404, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
40.429462,140008.3,8.969463,1305.9735,-5.04848,41.07166, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
15.558944,310890.12,7.236713,2003.5917,-26.628023,10.703112, Private, HS-grad, Never-married, Other-service, Own-child, White, Female, United-States, <=50K
32.275623,117622.73,12.562267,-121.52839,-74.81988,40.98201, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, White, Female, United-States, >50K
39.380177,204311.23,9.244549,-520.9329,-87.81791,41.528828, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
41.65833,206558.27,6.0058093,-655.7021,79.87103,44.957108, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
53.273674,141221.34,13.931995,-1001.0861,24.363993,32.6787, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
41.823914,165882.5,13.580455,1146.859,-33.916462,45.469486, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
36.6241,210367.14,9.569104,-653.88873,-24.752031,50.01478, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, <=50K
42.303917,177737.58,10.680348,2124.9636,-66.22143,51.10794, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female, United-States, <=50K
42.08136,263547.7,8.608179,7032.025,211.73146,47.33153, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
26.587713,123272.74,11.362123,-931.81573,1291.473,34.00414, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Male, United-States, <=50K
61.743362,149175.53,9.650231,362.3922,12.910214,12.6264, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
28.142874,129289.97,9.548675,738.6646,-58.03889,35.12098, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
35.864838,125731.586,7.4575315,-908.4986,-11.260066,41.27595, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
28.257288,126289.766,14.296905,-2547.66,-67.18342,39.665318, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male, United-States, <=50K
52.66907,339574.72,12.30993,-1392.1865,-57.798016,55.733616, Private, Some-college, Divorced, Prof-specialty, Unmarried, White, Female, United-States, <=50K
32.474403,221624.23,8.753526,500.9311,-81.343056,40.756554, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female, United-States, <=50K
41.65577,189587.97,13.0524435,3001.3308,15.859693,35.285843, Private, Bachelors, Never-married, Prof-specialty, Unmarried, White, Female, United-States, >50K
35.101097,113134.42,9.775091,30.48431,-10.476748,45.213642, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male, United-States, <=50K
30.800592,264376.2,12.018883,-320.9344,76.08242,39.524113, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Male, United-States, <=50K
52.736767,113818.04,8.931182,-1004.3857,-91.721855,38.62029, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female, United-States, <=50K
44.399612,187573.16,4.181122,3193.5437,47.948376,35.145576, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
43.95724,189889.83,11.542529,268.82068,-21.67959,51.412975, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
44.82822,229803.31,11.077527,-828.592,-32.140293,55.594597, Private, Some-college, Divorced, Exec-managerial, Unmarried, White, Female, United-States, <=50K
41.51525,103039.39,9.641058,-1694.7395,695.05505,45.832485, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
39.380665,142769.36,13.014661,-669.1713,-54.10809,37.04815, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female, United-States, <=50K
40.496166,156263.86,9.606819,4699.6045,88.839645,41.387203, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
39.929134,385125.6,9.906946,2567.448,-91.20142,36.93665, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female, United-States, <=50K
44.94408,120002.734,13.842332,-1480.022,22.39549,40.78096, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
59.865242,119988.836,12.228683,-830.89166,-58.67895,9.576435, Private, Some-college, Married-civ-spouse, Sales, Own-child, White, Male, United-States, <=50K
34.701855,77929.18,9.163675,-122.77668,0.5886737,39.42629, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male, United-States, <=50K
