39, 77516, 13, 2174, 0, 40, State-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male, United-States, <=50K
30.450502,242409.16,6.6313,-446.13507,1.5035602,49.670258, Private, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
38.010086,185005.14,10.08908,2703.9512,8.125821,48.03888, Federal-gov, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States, >50K
43.138,159103.5,14.027195,234.93683,-10.909137,38.837322, Local-gov, Masters, Married-civ-spouse, Other-service, Husband, White, Male, United-States, >50K
28.07834,184450.69,10.044082,-421.89142,14.591336,38.457508, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Male, United-States, <=50K
30.494883,134201.52,8.93001,-106.09406,0.61871064,47.316948, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male, United-States, <=50K
40.300865,224486.4,9.119037,-244.41583,3.507924,61.503082, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, <=50K
50.08188,138562.4,13.070873,115.758354,-11.826739,37.151043, Private, Bachelors, Divorced, Prof-specialty, Own-child, White, Female, United-States, <=50K
37.593376,182278.81,9.9278555,-186.3736,12.588315,46.32801, Self-emp-not-inc, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male, United-States, <=50K
32.414642,268398.56,12.441637,-561.95844,3.8627825,34.56742, State-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
23.548306,398104.22,12.401062,294.19324,25.285994,29.031263, State-gov, Bachelors, Never-married, Sales, Own-child, White, Male, United-States, <=50K
49.49944,137969.53,8.986558,180.15912,9.934857,37.051334, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
74.27848,69696.19,12.899069,159.4765,-7.3265104,55.15001, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States, <=50K
45.531445,114532.88,9.837766,1205.0334,-17.46206,27.924572, Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Female, United-States, <=50K
37.665543,84040.13,11.813066,-184.94672,-7.6609373,40.47153, Local-gov, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male, United-States, <=50K
59.4964,117940.984,9.952251,30.654964,-0.678584,31.348295, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, <=50K
60.39519,156924.4,11.152351,-122.049385,-15.94498,30.539158, Local-gov, HS-grad, Divorced, Prof-specialty, Unmarried, White, Female, United-States, <=50K
