39, 77516, 13, 2174, 0, 40, State-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male, United-States, <=50K
18.434229,88525.94,8.013514,1459.2661,17.377409,38.38872, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female, United-States, <=50K
27.75517,115832.84,9.445376,1522.0868,-21.657808,41.8914, Private, Some-college, Divorced, Transport-moving, Not-in-family, White, Male, United-States, <=50K
17.099585,146121.3,9.16535,-954.58014,-0.9455365,42.50468, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Wife, White, Female, United-States, <=50K
31.218266,144649.73,12.136448,1350.0161,-60.160336,61.27815, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
58.819996,89837.69,8.152247,879.528,87.43125,60.941853, Private, HS-grad, Divorced, Transport-moving, Not-in-family, White, Male, United-States, <=50K
46.7286,18931.078,8.576936,654.51965,19.538755,41.885292, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
23.659506,155439.17,8.715288,1063.4543,29.245756,40.955326, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States, <=50K
47.005524,330820.53,9.817966,234.49005,95.25725,35.865562, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
21.507301,317243.2,7.0678463,1059.2745,-3.7912092,37.143948, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male, United-States, <=50K
55.905155,189655.34,8.6575575,718.2252,99.72844,36.291813, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male, United-States, <=50K
64.37261,234247.53,8.318922,1060.6189,126.72439,38.88597, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
44.08432,434922.03,9.081194,-249.32428,47.633602,41.619484, Private, HS-grad, Never-married, ?, Unmarried, White, Female, United-States, <=50K
55.17745,82518.13,8.4705925,1241.2639,-53.287167,40.126324, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States, >50K
27.975252,209127.16,9.612858,-54.7757,45.56267,47.89609, Private, Some-college, Never-married, Other-service, Own-child, White, Female, United-States, <=50K
16.29545,150859.94,8.586004,374.52148,98.28623,41.751225, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Female, United-States, <=50K
33.084988,159608.48,7.726129,381.67267,-51.740505,43.097164, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
41.46639,120081.62,10.377818,17195.559,-66.35102,44.90777, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States, >50K
61.616684,152465.44,9.735443,1995.671,70.13684,36.98099, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
37.862522,146792.05,9.714803,1838.0618,19.849844,43.722233, Private, HS-grad, Married-civ-spouse, ?, Husband, White, Male, United-States, <=50K
58.568325,150325.77,3.7906113,2054.7021,62.224976,34.84766, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States, <=50K
37.554325,102582.51,9.723299,2444.4937,48.74209,56.052326, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female, United-States, >50K
