39, 77516, 13, 2174, 0, 40, State-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male, United-States, <=50K
32.922222,161325.34,9.941239,103.6126,-29.423372,64.68272, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Male, United-States, <=50K
36.119015,284480.6,10.003847,616.65466,-9.667926,38.414482, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, <=50K
42.783234,133302.86,8.997002,70.50164,13.940999,48.961468, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male, United-States, <=50K
28.218266,190411.2,8.951216,-120.00019,-5.244746,40.15499, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
53.85008,181300.81,9.004702,8.40704,-6.4868956,41.595066, ?, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
31.801544,277653.72,9.002933,-6.4956703,3.074338,47.84519, Local-gov, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male, United-States, <=50K
18.058222,46224.89,9.372767,127.238335,383.11993,45.32853, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
22.075125,223513.42,11.739117,-258.66815,-19.62121,45.291203, Private, Assoc-voc, Never-married, Other-service, Not-in-family, White, Female, United-States, <=50K
40.14135,235520.61,8.736112,10.0543785,-0.62586486,44.283398, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
46.60371,99852.445,10.018268,45809.35,1097.4594,45.52302, Private, Some-college, Married-civ-spouse, Other-service, Not-in-family, White, Male, United-States, >50K
33.505463,122389.04,9.852856,-298.8786,-35.453167,36.046688, ?, HS-grad, Never-married, ?, Own-child, White, Female, United-States, <=50K
34.77698,162629.4,12.212746,-150.33014,-2.1246595,44.298668, Private, Masters, Never-married, Craft-repair, Not-in-family, White, Male, United-States, <=50K
30.809673,155435.14,10.88688,-179.92072,19.165586,24.082884, Private, Assoc-acdm, Never-married, Prof-specialty, Own-child, White, Female, United-States, <=50K
82.13375,84799.67,11.352203,1345.2513,2.512105,19.625498, Self-emp-not-inc, HS-grad, Widowed, Sales, Unmarried, White, Female, United-States, <=50K
52.1093,286841.84,10.200381,-25.749699,-27.789263,43.050175, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States, <=50K
36.18667,139595.81,10.044392,-290.02997,516.65607,38.796177, Private, Some-college, Never-married, Sales, Not-in-family, White, Male, United-States, <=50K
33.74487,131315.12,12.952698,9619.997,-0.86999786,48.27392, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
33.05391,183251.67,12.599984,-120.45893,750.4157,40.020004, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
24.458862,183893.94,9.363226,-193.07391,-29.745005,42.103638, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
34.15275,199136.73,10.310165,-82.25556,1.5824405,41.862743, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
20.416506,250619.55,8.519512,-37.742863,6.1615343,41.841118, State-gov, HS-grad, Never-married, Protective-serv, Not-in-family, White, Male, United-States, <=50K
38.78135,134440.75,8.744103,58.08917,-12.524219,45.038548, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Wife, White, Female, United-States, <=50K
45.123844,153830.84,9.414506,-141.89044,37.167953,28.41929, ?, Some-college, Never-married, Farming-fishing, Own-child, White, Male, United-States, <=50K
31.713688,134387.89,8.958617,-57.352726,-18.024118,23.291147, Private, HS-grad, Never-married, Other-service, Own-child, White, Male, United-States, <=50K
42.181652,190536.22,10.103634,319.8614,36.44531,30.48803, Private, Some-college, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States, <=50K
34.82415,165081.03,9.10898,-27.06989,-26.494684,35.2731, Private, HS-grad, Never-married, Other-service, Own-child, White, Female, United-States, <=50K
28.600964,276454.34,10.27871,1050.8076,-29.927896,43.321636, Private, Some-college, Never-married, Other-service, Not-in-family, White, Male, United-States, <=50K
53.974377,295326.28,12.794571,44.520138,11.660207,42.970802, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Female, United-States, <=50K
29.38848,31474.562,10.322431,87.285515,3.5700731,24.244402, ?, Assoc-voc, Never-married, Farming-fishing, Own-child, White, Male, United-States, <=50K
42.26763,145278.5,9.861575,-35.085026,4.404355,60.091198, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female, United-States, <=50K
31.462875,208308.61,9.056895,-788.15424,-26.21728,40.457073, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
50.18564,136522.56,8.923737,88.016594,1.9946338,34.22395, Local-gov, HS-grad, Married-civ-spouse, Handlers-cleaners, Wife, White, Female, United-States, <=50K
31.340263,170316.31,12.782714,7088.171,-19.004076,50.26977, Private, Bachelors, Never-married, Priv-house-serv, Not-in-family, White, Female, United-States, <=50K
20.52831,194923.56,12.914492,49.9378,-2.429637,27.582064, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, <=50K
31.605448,84486.01,11.061474,1704.6847,-14.664966,41.549614, Private, Assoc-voc, Never-married, Armed-Forces, Unmarried, White, Male, United-States, <=50K
39.744553,291382.34,9.313303,161.01105,-1.1467389,72.28477, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
24.844393,213373.94,8.955506,38.13122,-9.821368,58.60822, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male, United-States, <=50K
27.468931,180234.25,13.247153,74.698296,-4.6656218,47.95562, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
35.295128,186860.86,9.05257,-131.19586,1036.4795,38.825283, Self-emp-not-inc, HS-grad, Never-married, Sales, Unmarried, White, Male, United-States, >50K
31.506985,195361.25,9.701903,-14.962223,-3.0799284,45.724194, Private, Some-college, Married-civ-spouse, ?, Husband, White, Male, United-States, <=50K
38.67477,208961.4,7.6358614,-71.04096,-24.036562,40.56581, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male, United-States, <=50K
60.9295,223386.28,8.9744625,44.35522,26.00857,37.575428, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States, <=50K
44.70628,112809.055,10.147507,-6.185978,-20.535456,40.494762, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
23.97493,371569.66,8.932772,37.702633,-0.27107513,32.655895, Private, HS-grad, Never-married, Other-service, Other-relative, White, Male, United-States, <=50K
25.477074,128942.73,8.99311,-6.983219,-5.5687056,38.82441, Private, HS-grad, Never-married, Craft-repair, Other-relative, White, Female, United-States, <=50K
22.794786,319239.25,8.930898,1129.8127,-6.0673857,38.187317, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
43.59779,112177.06,9.030548,113.248955,-0.68477905,48.229507, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
55.19784,90976.04,9.235212,149.06512,-30.676332,28.698463, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, <=50K
43.834705,148774.25,8.961587,102.721245,-22.279894,39.104725, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female, United-States, <=50K
36.474506,95662.38,10.096245,7.0872154,875.1506,43.307934, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, <=50K
23.688765,284764.34,10.125686,178.00464,9.612142,39.141037, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Male, United-States, <=50K
28.509546,198246.31,10.02266,-148.96442,-29.279589,45.832462, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Husband, White, Male, United-States, <=50K
46.00021,202311.83,9.039698,2041.6832,8.287847,40.311314, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
42.670372,155744.9,9.067773,144.2309,12.548924,41.352642, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States, <=50K
52.894848,141204.17,9.990154,27.543026,4.923711,41.572628, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Male, United-States, <=50K
28.650797,181585.34,12.9991,217.862,11.339635,29.860088, Private, Bachelors, Married-spouse-absent, Prof-specialty, Own-child, White, Male, United-States, <=50K
36.024696,95408.74,9.120457,-1.9247477,-8.602633,38.728962, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, United-States, <=50K
42.259106,154471.72,8.052874,-77.499825,-21.403948,50.79066, Private, HS-grad, Never-married, Craft-repair, Unmarried, White, Male, United-States, <=50K
42.389126,88578.78,9.324654,108.66473,7.740834,46.101418, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male, United-States, >50K
44.94411,159442.75,11.561704,134.02167,2524.9143,49.664467, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
39.21832,127442.64,9.969751,-23.792545,20.348661,33.635456, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, White, Female, United-States, <=50K
37.635876,189056.48,12.001088,29.65887,7.2753267,47.658577, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
18.053467,290309.56,9.953806,-486.72894,12.326032,29.837051, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Male, United-States, <=50K
21.067648,144561.08,9.96208,110.08398,-9.485972,46.871193, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Male, United-States, <=50K
33.26286,225208.88,13.295688,69163.92,-31.303675,28.721182, Local-gov, Bachelors, Never-married, Prof-specialty, Husband, White, Male, United-States, >50K
27.254782,193615.31,10.043665,139.24945,-6.9273405,40.43123, Private, Some-college, Never-married, Other-service, Not-in-family, White, Male, United-States, <=50K
35.179676,136384.06,9.281361,28.634335,913.7772,35.369923, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male, United-States, <=50K
22.666622,241319.05,6.0361433,-141.52032,26.694307,18.908657, ?, 11th, Never-married, ?, Own-child, White, Male, United-States, <=50K
47.001263,150227.98,10.3609915,4796.808,68.40895,55.03901, Self-emp-not-inc, Some-college, Never-married, ?, Husband, White, Male, United-States, <=50K
37.333538,389607.06,6.05857,-69.19892,-5.6994963,34.219692, Private, 9th, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
41.181656,175669.23,8.355143,-4309.6562,18.35398,41.166363, Self-emp-not-inc, Some-college, Separated, Craft-repair, Not-in-family, White, Male, United-States, <=50K
30.037752,369575.62,12.843215,43.15472,2.052434,33.894993, Private, Bachelors, Never-married, Sales, Other-relative, White, Female, United-States, <=50K
50.038094,208332.05,11.135389,-160.83649,2065.5884,46.577686, ?, Some-college, Married-civ-spouse, ?, Husband, White, Male, United-States, >50K
46.98366,186250.81,8.941417,1584.6168,-2.9608946,34.84923, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
35.91061,165263.69,8.391,52.147335,-11.702594,36.491344, Private, HS-grad, Never-married, Other-service, Own-child, White, Female, United-States, <=50K
28.931181,237048.9,9.977267,-126.16828,0.7227603,29.748556, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Male, United-States, <=50K
17.399746,301107.2,12.073578,-427.85773,-21.353975,39.02711, ?, Assoc-acdm, Never-married, ?, Own-child, White, Male, United-States, <=50K
26.175936,92674.85,9.189258,-209.5672,-19.324991,45.466805, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Female, United-States, <=50K
45.577984,286793.03,7.751842,-102.774605,-3.5810423,32.14903, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
