39, 77516, 13, 2174, 0, 40, State-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male, United-States, <=50K
49.73435,210503.75,12.849713,1927.6876,33.824593,25.50251, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female, United-States, <=50K
32.37512,177904.42,9.229207,-1116.3457,32.405792,41.69392, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Male, United-States, <=50K
35.737076,128179.05,6.8107324,2274.9004,33.461056,31.743967, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female, United-States, <=50K
54.943233,295160.44,7.2200437,262.4275,-88.872765,34.06974, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
25.365349,193804.88,14.636927,-1923.9722,-18.50004,63.890408, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Male, United-States, <=50K
22.634302,103966.22,9.2014265,-1273.2314,64.71353,33.208427, Private, HS-grad, Never-married, Other-service, Own-child, White, Female, United-States, <=50K
29.076212,265763.6,12.134315,532.0286,-6.149562,28.877363, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
61.142902,219967.23,10.008079,-285.87408,-79.184395,34.188606, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
44.05167,207565.17,13.501859,3217.4456,25.5269,53.162804, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
38.476585,281070.47,10.835737,86.73162,-24.28251,33.857407, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Female, United-States, >50K
33.95204,129175.24,9.901738,-1879.3391,64.836,18.70995, Private, Some-college, Never-married, Other-service, Own-child, White, Female, United-States, <=50K
36.154053,191206.27,10.253254,1531.5978,-99.74319,44.88849, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
44.107292,129943.92,9.985101,14.171444,-98.09438,45.740143, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
28.33127,180724.73,9.293808,-965.98615,-97.972786,37.717915, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
40.405197,113411.01,9.408566,548.7599,3.6997347,39.30046, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
46.435314,165310.61,3.6883464,-766.55756,-123.49525,31.912045, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Male, United-States, <=50K
51.336273,282043.3,9.7680025,-87.9936,-29.306154,38.873928, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male, United-States, <=50K
23.382948,190954.77,8.621853,-693.79535,-26.142588,21.39184, Private, Some-college, Never-married, Other-service, Own-child, White, Male, United-States, <=50K
17.175499,172879.27,9.567749,2835.2722,138.66603,20.997997, Private, Some-college, Never-married, Other-service, Own-child, White, Female, United-States, <=50K
26.982666,330953.22,7.8724585,-198.19672,-48.469845,44.53817, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
32.779594,198185.56,12.115451,-727.6579,496.54156,34.551643, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Female, United-States, <=50K
46.088093,151656.98,11.318598,185.81708,-86.44245,28.460476, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
42.73536,153022.34,9.046876,2254.3955,22.828802,35.657654, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female, United-States, <=50K
74.72517,166303.97,10.749321,-1738.0432,23.31059,8.822622, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
34.248188,243726.11,10.160234,97.0985,-90.172295,44.057026, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
28.242693,87406.44,10.457357,43.351986,-60.851467,35.295197, Private, Some-college, Never-married, Craft-repair, Own-child, White, Male, United-States, <=50K
40.543724,318861.3,9.259982,1749.8867,-82.69723,41.72331, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
57.88323,165332.81,8.5328865,1087.33,-13.009906,40.129498, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
39.480793,99774.125,8.5178175,2058.3667,-10.4698515,52.749058, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
46.871807,245152.31,13.060107,317.91052,16.015104,29.966303, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, <=50K
37.229618,115964.13,12.077764,305.8744,-54.48762,51.99945, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
43.10892,162614.77,8.919439,490.03735,-37.972668,47.35224, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
39.71822,146577.4,10.550577,612.7377,1.1812412,45.08632, Private, HS-grad, Married-civ-spouse, Adm-clerical, Unmarried, White, Female, United-States, <=50K
41.175983,204892.88,10.059893,990.6128,34.194027,42.739727, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Male, United-States, <=50K
19.793482,126267.62,6.18355,718.69366,71.22932,37.347042, Private, HS-grad, Never-married, Other-service, Own-child, White, Male, United-States, <=50K
