39, 77516, 13, 2174, 0, 40, State-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male, United-States, <=50K
31.171515,389378.25,3.8032665,-112.73823,1413.3429,50.075283, Private, 10th, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
38.366985,326798.06,10.184742,-86.780464,10.726239,41.052727, Private, Assoc-voc, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
28.53421,190427.11,8.542998,263.9803,-15.690837,33.608772, Private, HS-grad, Never-married, Other-service, Unmarried, White, Female, United-States, <=50K
47.126564,198905.8,10.435911,476.42352,-7.1728926,45.14791, Local-gov, Some-college, Divorced, Adm-clerical, Not-in-family, Black, Male, United-States, >50K
23.595482,194518.95,2.6793056,-725.2784,2018.2542,34.74934, Private, 10th, Married-civ-spouse, Protective-serv, Own-child, White, Male, United-States, <=50K
39.530643,323478.3,9.625068,199.87567,2404.439,38.948357, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Female, United-States, <=50K
47.86667,90420.34,7.223242,44.18957,-0.2400998,41.389027, Private, 11th, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
36.248764,227905.67,9.06527,141.87482,-10.552249,34.986393, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male, United-States, <=50K
35.53324,131954.3,10.004704,-172.21857,243.77061,48.762215, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, <=50K
31.680386,154532.2,9.936675,-175.5982,-5.648814,56.975765, Private, Some-college, Separated, Adm-clerical, Own-child, Black, Female, United-States, <=50K
35.44141,216334.9,9.0314245,113.41125,-8.502582,45.962498, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
56.212822,194745.0,10.721284,-166.37128,11.887059,40.148544, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, United-States, <=50K
26.950573,259309.02,8.941444,1320.3496,39.877613,36.445976, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Black, Male, United-States, <=50K
38.306427,197787.56,9.045235,154.78021,1.0825931,44.782352, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
44.21145,163673.86,9.935972,-606.1114,-10.047549,34.0121, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, <=50K
32.165375,193040.23,9.417445,3685.8618,-0.7598065,49.240807, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Male, United-States, >50K
53.742443,174501.53,9.454154,-208.83514,-20.240168,39.99127, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
51.67022,213957.73,12.938103,-143.73785,-8.397449,35.68867, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
52.45334,71914.07,9.24085,-153.6435,-31.263994,50.232697, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
19.824162,463529.84,9.032888,206.31793,-18.489016,40.14157, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male, United-States, <=50K
45.369644,261025.3,8.98712,763.4107,-13.348094,66.07883, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, Black, Female, United-States, <=50K
44.000435,260793.55,10.049015,-57.26874,8.512647,39.083897, Private, Some-college, Never-married, Farming-fishing, Not-in-family, White, Male, United-States, <=50K
40.893272,157399.42,10.881035,-542.73334,-9.851375,45.70807, Private, Assoc-voc, Married-civ-spouse, Other-service, Own-child, White, Female, United-States, <=50K
29.883202,129882.37,9.359343,684.3012,-16.129778,32.13775, Private, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female, United-States, <=50K
44.234295,137193.9,10.0710745,-30.98798,-6.361636,57.250534, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
