39, 77516, 13, 2174, 0, 40, State-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male, United-States, <=50K
51.353466,148061.69,7.0046315,25.991512,4.6460466,27.953081, State-gov, 11th, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States, <=50K
46.2547,190002.05,12.496226,14586.908,12.386678,44.596966, Private, Bachelors, Divorced, Sales, Not-in-family, White, Male, United-States, >50K
50.985744,278315.25,9.305104,528.74536,-0.2439145,18.814142, Private, HS-grad, Married-spouse-absent, Other-service, Own-child, White, Male, United-States, <=50K
26.151085,149582.2,10.031865,112.313286,6.7025423,40.564148, Private, Some-college, Never-married, Craft-repair, Own-child, White, Male, United-States, <=50K
17.334753,256238.78,7.5774794,-121.21821,1.7260562,33.0092, Private, 11th, Never-married, Adm-clerical, Own-child, White, Male, United-States, <=50K
31.5364,298035.06,13.00771,-274.4051,-13.584056,56.605152, Private, Bachelors, Married-civ-spouse, Adm-clerical, Wife, White, Male, United-States, >50K
41.452568,299530.28,1.4820633,715.76556,39.476185,70.028145, Private, 10th, Never-married, Adm-clerical, Unmarried, White, Female, United-States, <=50K
32.340008,96686.33,10.026479,27.93768,-10.949145,46.13991, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male, United-States, <=50K
41.227276,358405.2,12.948847,1876.4191,-10.7528105,37.55374, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, <=50K
43.989925,191847.52,15.423647,-279.95306,-6.62675,44.551277, Local-gov, Assoc-acdm, Never-married, Prof-specialty, Not-in-family, White, Male, United-States, >50K
19.947699,61750.016,7.0135922,-359.80756,-0.3397168,38.632526, Self-emp-inc, 11th, Never-married, Adm-clerical, Own-child, White, Male, United-States, <=50K
37.306484,187789.78,11.377544,170.17542,-0.666438,36.207695, Private, Assoc-voc, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
51.106945,108373.5,9.193652,-119.45698,1375.4175,41.150047, ?, HS-grad, Married-civ-spouse, ?, Husband, White, Male, United-States, <=50K
22.930794,195454.7,11.925339,-254.41998,29.802622,55.860016, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male, United-States, <=50K
21.80453,205272.69,9.060831,26.838192,3.6891527,43.365654, Private, HS-grad, Never-married, Sales, Own-child, White, Female, United-States, <=50K
37.360962,303687.62,10.011733,92.23119,2.344449,53.646694, Private, Some-college, Divorced, Transport-moving, Not-in-family, White, Male, United-States, >50K
28.893248,388512.4,9.008406,-169.13593,-5.5523863,44.136265, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, <=50K
31.152925,63042.25,9.086738,-39.053165,1626.8552,55.122826, Local-gov, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States, >50K
20.772903,242173.05,9.984152,88.91473,1.1040698,44.21746, Private, Some-college, Never-married, Sales, Not-in-family, White, Female, United-States, <=50K
57.744488,47853.33,8.979212,90.8883,19.824087,36.838272, Private, HS-grad, Divorced, Sales, Unmarried, White, Male, United-States, <=50K
25.380754,277817.66,9.047861,404.16748,3.467084,23.802832, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male, United-States, <=50K
33.94371,211964.12,5.8124013,-15.338322,18.36492,56.673176, Private, 9th, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States, <=50K
44.02971,84803.63,15.230403,433.97388,0.39964783,29.270275, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
42.04983,127012.16,9.044918,431.23608,0.051480398,29.65198, Private, HS-grad, Divorced, Sales, Not-in-family, White, Female, United-States, <=50K
36.75214,238176.78,8.987276,0.8211019,0.38682282,56.127754, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States, <=50K
34.599823,226414.69,10.065219,182.00647,3.0278444,5.3151417, State-gov, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
26.627861,175030.64,8.921365,1902.7637,-2.0673323,34.682114, State-gov, HS-grad, Never-married, Machine-op-inspct, Unmarried, White, Male, United-States, <=50K
36.426323,118669.68,8.976495,-62.481388,12.641667,46.794548, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
53.999336,155141.38,12.435048,15.0734215,3.230298,40.390366, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States, <=50K
48.864113,53088.61,8.985068,171.1377,15.155698,37.6035, Private, HS-grad, Divorced, Tech-support, Unmarried, White, Male, United-States, <=50K
57.257915,248518.53,6.394337,129.08685,-1.3542966,46.21381, Private, 9th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States, <=50K
35.42467,339002.97,9.005583,810.0026,1823.3365,40.288975, Private, HS-grad, Divorced, Transport-moving, Not-in-family, White, Male, United-States, <=50K
20.955402,231794.1,9.740565,-137.48969,9.716245,45.845886, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, United-States, <=50K
38.021076,153746.16,6.944306,-19.18378,-16.53216,9.821184, Self-emp-not-inc, 11th, Separated, Farming-fishing, Own-child, White, Female, United-States, <=50K
54.493626,107488.68,15.398095,34.620358,-1.8183774,41.45207, Private, Assoc-acdm, Divorced, Prof-specialty, Not-in-family, White, Female, United-States, <=50K
32.704292,199953.6,8.998839,-41.20258,-6.6192884,46.263885, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Male, United-States, <=50K
47.384098,195968.69,9.02205,-59.265568,18.07543,38.776356, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Female, United-States, <=50K
18.616745,148042.55,10.028532,261.0351,-0.083063975,18.747097, State-gov, Some-college, Never-married, Adm-clerical, Own-child, White, Female, United-States, <=50K
31.871483,77336.95,9.084474,-21.173893,-3.124774,31.728691, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States, <=50K
46.00054,85609.414,9.033256,-34.108463,-4.255023,16.260977, ?, HS-grad, Married-civ-spouse, ?, Husband, White, Male, United-States, <=50K
35.200584,443387.78,4.1151276,198.17047,1845.5726,42.27582, ?, 11th, Never-married, ?, Not-in-family, White, Male, United-States, <=50K
42.049614,171260.19,8.951399,89.30346,13.667401,55.266953, Private, HS-grad, Divorced, Farming-fishing, Unmarried, White, Female, United-States, <=50K
32.702667,187091.17,8.969131,-261.14325,11.120236,41.389534, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female, United-States, <=50K
44.852097,138121.06,9.996664,116.56078,0.59586823,8.789833, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, <=50K
34.590145,207963.25,9.037515,-378.40656,-6.297595,54.972046, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male, United-States, <=50K
27.629559,87344.55,10.75019,83.23528,15.876935,61.81298, Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Male, United-States, <=50K
30.963232,267140.16,9.056877,-101.47053,3.8116732,43.973984, State-gov, HS-grad, Never-married, Other-service, Not-in-family, White, Female, United-States, <=50K
66.628456,184938.05,8.939866,151.60101,14.036199,29.142548, State-gov, HS-grad, Widowed, Machine-op-inspct, Unmarried, White, Female, United-States, <=50K
34.745937,170203.0,10.960999,3429.138,-8.614581,40.154552, Self-emp-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
38.2484,130085.98,9.030491,82.59289,2.6859865,35.969994, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
54.68853,268616.62,11.841309,135.61633,-13.249019,37.49892, Private, Assoc-acdm, Never-married, Craft-repair, Unmarried, White, Male, United-States, <=50K
42.37255,275057.6,10.049916,42.473934,-19.758532,35.15877, Private, Some-college, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States, <=50K
52.98494,230240.47,13.003088,-62.97919,-0.9899701,59.130157, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, <=50K
36.240612,89082.03,12.062495,-58.103336,5.663556,41.547592, Private, Assoc-acdm, Divorced, Adm-clerical, Unmarried, White, Female, United-States, <=50K
26.471304,143534.16,7.6453967,-136.3443,-11.406192,38.79113, Local-gov, 11th, Never-married, Prof-specialty, Own-child, White, Male, United-States, <=50K
20.022064,-41926.938,9.971532,659.9272,0.12225829,34.971695, State-gov, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female, United-States, <=50K
19.91169,169860.38,10.049408,43.281612,0.8738605,40.374958, Private, Some-college, Never-married, Craft-repair, Own-child, White, Male, United-States, <=50K
42.365463,318265.28,11.677047,-228.32037,7.0177126,40.936993, Private, Assoc-acdm, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States, >50K
20.085888,158572.16,8.991173,133.95807,-8.940776,41.322456, Private, HS-grad, Never-married, Armed-Forces, Not-in-family, White, Male, United-States, <=50K
27.291235,197232.05,9.647318,-276.74567,2.0514345,32.64524, State-gov, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States, <=50K
53.81606,198326.84,2.6220646,-109.1706,7.9355288,45.921944, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Male, United-States, <=50K
