39, 77516, 13, 2174, 0, 40, State-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male, United-States, <=50K
44.49185,154031.69,10.50981,1307.9684,-165.1259,44.52811, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
19.667608,134763.83,8.454879,-706.74884,-27.482584,45.560146, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male, United-States, <=50K
22.065893,95756.18,10.771593,7937.2124,-29.754267,40.169712, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
44.707905,257648.97,9.30049,-1968.3591,9.224088,42.694824, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States, <=50K
65.43054,203719.28,11.136868,-995.86786,-35.063557,28.846405, Private, Some-college, Never-married, Other-service, Own-child, White, Female, United-States, <=50K
31.84875,164774.97,7.2583127,364.83844,76.11828,45.993065, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
29.013332,136966.7,10.298833,-258.1396,-45.927273,37.718388, Private, HS-grad, Never-married, Sales, Unmarried, White, Female, United-States, <=50K
41.759007,146641.8,12.972324,1840.7625,-22.31853,43.794956, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
58.951874,289531.8,8.335371,6310.438,-48.693493,45.53972, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Unmarried, White, Female, United-States, >50K
54.98005,160870.94,9.082732,-1672.815,-89.99233,15.537693, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female, United-States, <=50K
41.13493,148311.28,3.7547164,825.99023,-103.24818,42.803917, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States, <=50K
44.94071,280933.16,13.163426,390.92554,-40.908672,40.15108, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
44.27933,98053.34,6.8320513,425.38452,-33.55991,36.68248, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
31.864723,80359.516,9.566199,2187.951,42.32312,42.689434, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Male, United-States, >50K
35.849873,219469.73,8.389449,378.65265,-96.15276,40.4111, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
54.328777,123393.18,8.922674,1589.4949,-74.48455,42.59347, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
39.270912,175751.89,9.76219,398.44873,-20.557299,36.89371, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
21.936224,188668.72,9.047633,537.2037,148.21149,36.777027, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Female, United-States, <=50K
47.963932,281999.7,10.331807,1426.2014,-35.022724,43.96258, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Male, United-States, <=50K
64.606384,253895.06,10.773905,1498.0344,-18.28576,39.63867, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
46.296494,242761.23,7.909582,-958.5455,-77.58268,41.428276, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
57.210365,136511.77,13.486442,-1058.4954,-10.122958,40.304672, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
56.834373,69064.81,8.206763,1268.5461,-42.284756,30.324646, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
19.321793,153768.5,9.677504,-509.43634,48.125694,36.02462, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Male, United-States, <=50K
69.56557,118305.8,12.39053,638.13794,39.476227,37.68624, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
25.116194,94342.42,9.266517,-1421.3267,-46.0883,44.771893, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male, United-States, <=50K
28.925318,116004.87,8.310327,-670.8027,-115.64185,39.19827, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States, >50K
26.539053,78456.01,7.240997,-2074.0117,43.812206,19.424143, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Own-child, White, Female, United-States, <=50K
14.642743,146714.02,10.508436,1012.84174,1.4168979,4.879122, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female, United-States, <=50K
19.349882,180079.11,10.357477,450.55872,11.18028,18.588669, Private, Some-college, Married-civ-spouse, Sales, Own-child, White, Female, United-States, <=50K
25.526823,136049.28,9.497616,1684.319,-23.41379,40.894592, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Male, United-States, <=50K
36.749386,167230.77,7.8664646,-970.706,105.41845,37.501953, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
32.029747,191623.6,8.519621,-95.94416,-35.286922,62.46929, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States, <=50K
29.877857,185281.22,5.8030443,-259.02924,-10.406207,54.892998, Private, Some-college, Never-married, ?, Not-in-family, White, Male, United-States, <=50K
25.430061,132839.1,10.573629,679.0082,-99.9403,35.46843, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Male, United-States, <=50K
53.088116,124459.484,10.759078,744.79767,21.152647,41.016632, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States, >50K
35.483818,61553.57,12.219409,-304.5302,59.09972,38.414993, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
52.02168,117227.805,10.911025,2368.1309,21.811567,36.91116, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Female, United-States, <=50K
