39, 77516, 13, 2174, 0, 40, State-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male, United-States, <=50K
30.660582,207388.92,12.974886,51.06219,-5.1295195,29.376656, ?, Bachelors, Never-married, ?, Not-in-family, White, Male, United-States, <=50K
51.992954,173319.42,9.033077,132.04181,14.58022,45.88615, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male, United-States, >50K
52.038708,177122.06,8.794022,520.2486,23.676096,41.40441, State-gov, 12th, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, >50K
30.063696,250578.05,9.1031065,-345.86542,1.1463214,44.103294, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Female, United-States, <=50K
37.719402,111803.69,9.85286,-899.55524,-57.162167,32.046677, Private, Some-college, Never-married, Craft-repair, Other-relative, White, Female, United-States, <=50K
43.24162,368331.22,12.905162,193.39789,16.655302,37.833515, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States, <=50K
25.22653,112408.34,8.9776535,427.26392,-15.244327,37.865185, Private, HS-grad, Never-married, Sales, Own-child, White, Male, United-States, <=50K
42.823895,275665.78,9.070407,76.56365,-19.448305,29.74667, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, United-States, <=50K
17.677746,123438.26,9.899614,-273.58026,21.908094,40.89378, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Female, United-States, <=50K
51.06294,374719.47,3.9842682,15.327816,1.3129016,49.101856, Private, 12th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, United-States, <=50K
53.145836,47517.344,5.4159513,86.3507,-7.3871565,48.16028, Local-gov, 10th, Married-civ-spouse, Other-service, Husband, White, Male, United-States, >50K
25.778751,246447.52,2.1261272,-39.438053,-51.01858,46.213085, Private, Some-college, Divorced, Handlers-cleaners, Unmarried, White, Male, United-States, <=50K
24.364006,169961.05,8.945727,149.59918,-18.235918,38.7045, Private, HS-grad, Never-married, Other-service, Own-child, White, Male, United-States, <=50K
65.47815,182107.44,6.816666,14468.502,28.129587,38.899258, Private, 11th, Married-civ-spouse, Transport-moving, Wife, White, Female, United-States, >50K
51.69105,99834.01,12.987925,1478.7062,21.805197,36.94375, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
20.084122,295721.97,9.001424,135.93707,-15.802394,27.571632, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female, United-States, <=50K
62.819595,225825.31,9.015942,809.20734,13.198049,37.961826, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
37.65646,211703.48,9.006777,264.26233,-1.9482754,43.698906, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male, United-States, <=50K
34.38383,57414.797,13.749357,4715.101,44.21094,44.536644, ?, Bachelors, Never-married, ?, Not-in-family, White, Male, United-States, >50K
62.665913,153433.05,8.91179,-180.7143,0.70434296,15.167324, ?, HS-grad, Married-civ-spouse, ?, Husband, White, Male, United-States, <=50K
27.124266,200423.16,12.42597,-413.8415,0.9100238,34.169636, Local-gov, Bachelors, Never-married, Protective-serv, Own-child, White, Female, United-States, <=50K
55.428288,203338.52,9.91407,48.399776,29.357641,49.289238, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States, >50K
