39, 77516, 13, 2174, 0, 40, State-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male, United-States, <=50K
50.67084,82031.77,9.630351,-17.245792,0.23769866,41.08336, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
27.969664,204529.02,7.905255,-31.35065,-5.948268,42.64621, Private, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, White, Female, United-States, <=50K
54.912224,206317.14,8.8882065,1060.5138,-25.123049,40.20606, Private, HS-grad, Married-civ-spouse, ?, Husband, White, Male, United-States, <=50K
45.850243,240639.4,7.243856,272.0871,39.800293,40.660786, Private, HS-grad, Married-civ-spouse, ?, Husband, White, Male, United-States, <=50K
24.784187,234632.0,13.371077,1081.3215,-0.60167205,26.01517, Private, Bachelors, Never-married, Craft-repair, Own-child, White, Male, United-States, <=50K
44.319603,260208.72,14.267511,-313.2365,37.916267,62.95098, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Male, United-States, <=50K
59.502247,161667.97,8.465849,1621.9492,4.2923174,35.178783, Private, HS-grad, Divorced, Farming-fishing, Not-in-family, White, Male, United-States, <=50K
39.029736,189093.36,9.816934,467.72595,-16.045252,42.32904, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
52.74175,166812.62,9.481398,767.87244,-21.723253,41.608925, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female, United-States, <=50K
28.673449,205171.16,10.387484,1132.8848,35.092506,40.170902, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
40.19537,187899.86,10.91932,2011.5096,-22.66305,42.960922, Private, Assoc-voc, Divorced, ?, Not-in-family, White, Female, United-States, <=50K
62.20394,174318.28,7.4244003,555.9754,3.6614199,38.1469, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male, United-States, <=50K
37.990467,209410.78,7.776049,1171.3983,-46.75427,25.816875, Private, HS-grad, Never-married, ?, Not-in-family, White, Female, United-States, <=50K
26.194517,188283.19,10.052988,1119.5134,10.6318865,42.29836, Private, Some-college, Never-married, ?, Not-in-family, White, Male, United-States, <=50K
18.63051,237584.38,9.970838,1395.2108,-9.993648,36.90864, Private, Some-college, Never-married, ?, Own-child, White, Male, United-States, <=50K
