39, 77516, 13, 2174, 0, 40, State-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male, United-States, <=50K
41.756348,145034.14,6.3785686,2692.6624,12.027364,40.926468, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male, United-States, <=50K
38.055984,114299.88,7.5710645,2777.551,42.38759,30.94323, Private, HS-grad, Married-civ-spouse, Sales, Unmarried, White, Female, United-States, <=50K
25.029512,133565.84,11.564126,-852.86285,-13.855937,28.304115, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Female, United-States, <=50K
22.097448,108655.89,8.100827,-1116.2866,1.7053882,40.088215, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male, United-States, <=50K
31.668568,97949.016,13.51699,8612.295,-24.451921,64.634254, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
30.929752,148794.67,7.3247714,-128.08282,-41.942287,49.294685, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male, United-States, <=50K
32.095787,161431.78,9.379835,-839.68805,0.1096469,46.90225, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
44.62174,123368.65,12.182434,2117.112,5.7904787,47.518528, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
50.36158,276149.97,10.009034,2263.4722,23.292555,32.93136, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
33.108738,338268.5,9.82373,277.63068,68.37308,25.806871, Private, HS-grad, Married-civ-spouse, Adm-clerical, Unmarried, White, Female, United-States, <=50K
16.786373,202312.84,7.802262,443.33447,-3.1910658,8.609081, Private, Some-college, Never-married, Other-service, Own-child, White, Male, United-States, <=50K
26.101109,266087.88,9.5176325,-1127.9265,103.54844,38.54076, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
20.565302,236063.4,8.99149,-223.79755,-61.04083,30.624767, Private, HS-grad, Never-married, Sales, Own-child, White, Male, United-States, <=50K
29.867235,102442.16,10.412515,444.34686,-57.388348,34.90849, Private, Some-college, Never-married, Sales, Not-in-family, White, Male, United-States, <=50K
32.046303,132571.78,11.118859,1203.277,-33.53539,32.42213, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male, United-States, <=50K
25.871408,196093.78,10.047523,-2211.9363,43.854473,52.152588, Private, Some-college, Never-married, Sales, Not-in-family, White, Male, United-States, <=50K
30.409761,164203.33,10.535404,734.4852,127.58127,46.91446, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, >50K
33.847874,145906.33,9.46079,340.26422,-1.6006726,38.66863, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
39.65294,128081.234,11.650534,3002.604,27.244574,39.185406, Private, Bachelors, Never-married, Craft-repair, Husband, White, Male, United-States, <=50K
40.87777,174546.33,11.479399,363.4156,5.1581545,42.11494, Private, Bachelors, Married-civ-spouse, Adm-clerical, Unmarried, White, Female, United-States, <=50K
19.015749,119913.516,10.363407,-382.43488,195.59874,34.365314, Private, Some-college, Never-married, Craft-repair, Own-child, White, Male, United-States, <=50K
23.569588,293297.3,8.994595,-48.79169,-28.302965,30.715307, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Male, United-States, <=50K
56.12972,185204.39,9.48074,3141.3076,70.51376,25.049747, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, White, Female, United-States, >50K
40.052505,119974.54,14.004999,343.66785,148.13316,50.876747, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, <=50K
46.806522,170761.38,11.665985,5196.108,38.34008,46.5013, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
32.591396,246774.27,9.458243,935.53125,54.430225,42.74292, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
31.298018,148199.0,9.931126,1556.4379,-31.251818,46.0266, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male, United-States, <=50K
40.082916,205574.84,2.513876,-1400.5024,-64.808586,44.149445, Private, HS-grad, Never-married, Other-service, Unmarried, White, Female, United-States, <=50K
16.523748,117677.7,7.815163,718.04297,10.249692,21.92201, Private, Some-college, Never-married, Other-service, Own-child, White, Male, United-States, <=50K
34.069073,227732.47,9.005325,84.052055,4.1667376,32.20006, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
26.201982,180685.92,9.294843,-700.68536,-58.605297,41.469364, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Male, United-States, <=50K
20.909506,93132.44,8.195997,-640.8538,-52.29278,37.79052, Private, Some-college, Never-married, Sales, Own-child, White, Male, United-States, <=50K
46.581535,105396.72,11.021817,3605.4397,54.9785,58.089733, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
25.082539,249207.75,8.730065,-762.00934,103.55991,43.750435, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male, United-States, <=50K
23.608303,245062.3,10.047183,-172.04425,11.780889,49.197754, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male, United-States, <=50K
48.916107,243884.48,13.23512,2087.0234,4.284642,34.02859, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Female, United-States, <=50K
27.428127,190151.47,7.630503,874.6314,-58.392666,57.22926, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male, United-States, <=50K
38.718895,370352.28,5.0264845,-602.3132,-95.119026,35.08719, Private, HS-grad, Never-married, Other-service, Husband, White, Male, United-States, <=50K
19.196594,185150.72,6.7620163,-933.89764,948.5415,22.457846, Private, Some-college, Never-married, Sales, Own-child, White, Male, United-States, <=50K
47.119858,214730.95,8.498726,720.2455,16.386457,35.585896, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
30.656158,106177.99,10.52025,2155.497,6.058484,37.67866, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
84.601616,183602.94,12.115298,9380.705,71.46989,0.26058376, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
40.588196,244878.6,13.57714,1890.2242,-23.008417,32.292023, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male, United-States, <=50K
38.633904,171519.61,8.612507,346.9068,11.4064,42.416935, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
41.134136,208159.12,9.466191,-19.294498,502.5902,18.720594, Private, Bachelors, Married-civ-spouse, Adm-clerical, Unmarried, White, Female, United-States, <=50K
57.058945,69114.945,5.7984138,1973.2983,784.07214,49.548103, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
46.104942,201989.9,7.0841875,-185.86676,-5.9998426,28.48399, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female, United-States, <=50K
28.366236,73422.98,11.0425415,410.71417,-0.89226806,65.07494, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Male, United-States, <=50K
37.719696,140045.6,11.244149,3919.4653,137.8485,37.345753, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, White, Female, United-States, >50K
30.995462,198344.44,9.686051,2765.2124,-45.686306,50.433304, Private, HS-grad, Never-married, Other-service, Unmarried, White, Male, United-States, <=50K
29.66142,209024.62,7.8889813,-316.88898,12.757779,43.124374, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
32.244358,130124.1,8.001072,-159.84442,48.220417,33.328426, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, White, Male, United-States, <=50K
43.04578,157184.86,12.916344,1380.072,41.577133,50.352356, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
34.156635,437617.4,12.261617,1920.4403,-103.77831,39.717976, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
36.32881,142453.58,9.812627,802.6391,79.506836,45.107674, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
47.572258,151737.61,6.253247,792.0326,-21.34144,28.01774, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female, United-States, <=50K
25.209381,182045.4,11.377886,505.79712,55.63634,36.573914, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
36.65448,219966.67,11.940705,1790.1548,4.436803,45.058884, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female, United-States, <=50K
44.513336,206713.4,7.4629283,293.0371,-57.378017,36.169075, Private, Some-college, Married-civ-spouse, Other-service, Not-in-family, White, Male, United-States, <=50K
57.941795,94098.54,9.143507,447.29907,35.894753,38.913494, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
37.482536,150848.6,9.477183,-520.5955,60.008877,39.2525, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female, United-States, <=50K
50.285942,223780.86,11.253857,259.5058,88.51877,57.092373, Private, Bachelors, Divorced, Exec-managerial, Unmarried, White, Female, United-States, <=50K
19.27516,242385.23,9.446181,1067.1832,59.844444,16.091845, Private, Some-college, Never-married, Craft-repair, Own-child, White, Male, United-States, <=50K
32.45732,363139.6,10.846218,869.5634,57.26955,26.044643, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
29.131844,169852.42,7.7894087,-724.6286,0.28972352,40.21195, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
12.377143,179225.05,9.095326,-130.72638,-86.651665,26.412582, Private, Some-college, Never-married, Sales, Own-child, White, Male, United-States, <=50K
55.676334,189632.81,3.9581575,-158.83722,7.7564745,31.879583, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Male, United-States, <=50K
26.44215,285817.53,9.965402,-666.4506,-18.19092,31.784946, Private, Some-college, Never-married, Sales, Own-child, White, Male, United-States, <=50K
20.916779,134742.78,6.6022387,-936.2836,-83.65922,30.327171, Private, HS-grad, Never-married, Sales, Own-child, White, Male, United-States, <=50K
43.255436,146691.66,10.642521,-363.39386,1663.7042,42.485218, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
21.461191,113369.74,9.582582,-216.664,-60.98962,34.63002, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male, United-States, <=50K
29.279633,120953.38,9.195277,246.9046,0.121937856,48.118935, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Male, United-States, <=50K
30.75676,191780.38,5.7025733,2121.6543,-131.99068,20.682735, Private, HS-grad, Never-married, Other-service, Unmarried, White, Female, United-States, <=50K
42.901764,375432.25,13.376335,2479.791,5.509717,45.10756, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Female, United-States, >50K
35.814835,226158.72,10.983303,1265.167,109.07588,44.512077, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, <=50K
44.97281,150453.14,11.303813,1266.1754,71.409294,42.650986, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
36.697052,140292.69,13.025664,1041.051,43.97923,50.88975, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male, United-States, <=50K
23.915943,476300.22,6.3621674,554.5725,-108.427574,32.284878, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female, United-States, <=50K
41.26977,122069.79,8.568076,137.72504,39.857338,47.14914, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
30.595402,232551.05,10.291088,439.54858,-23.503428,49.61136, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
24.322336,156525.47,9.046344,934.39,-15.91907,32.368366, Private, HS-grad, Never-married, Sales, Own-child, White, Male, United-States, <=50K
31.50592,246004.66,11.998279,899.2524,-61.44972,67.86509, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male, United-States, <=50K
43.240322,169000.5,11.420884,3832.582,103.50746,52.158066, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
34.78421,184243.11,7.07088,-1626.2166,-13.829837,44.360977, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male, United-States, <=50K
28.817245,112831.13,10.619458,-578.596,38.07015,46.319523, Private, HS-grad, Married-civ-spouse, Adm-clerical, Unmarried, White, Female, United-States, <=50K
33.391518,221301.23,9.491001,2913.3428,4.6660585,37.15429, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
24.902407,167335.3,11.071498,929.0847,42.400307,32.217087, Private, Bachelors, Never-married, Sales, Own-child, White, Female, United-States, <=50K
41.175434,188391.5,7.533344,-288.8769,-10.697215,51.141438, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
41.08401,263449.56,10.509298,316.38513,37.232296,29.762047, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Female, United-States, >50K
34.583355,94398.484,8.04792,-708.36334,58.554115,44.217422, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male, United-States, <=50K
29.174974,123471.32,9.822496,1570.4943,-69.269585,31.345392, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female, United-States, <=50K
45.486935,175580.67,9.162462,-136.49957,-0.96522033,32.942722, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, <=50K
26.238588,85207.62,11.43443,-425.38336,44.586414,45.14357, Private, Bachelors, Never-married, Sales, Own-child, White, Male, United-States, <=50K
21.655952,292794.7,7.094856,-831.88837,-18.40378,35.440758, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male, United-States, <=50K
40.273376,210766.83,10.03863,2236.6523,-39.12138,39.425297, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
67.97145,182813.89,6.7795277,78.53637,150.47064,12.588064, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female, United-States, <=50K
50.573704,132449.3,10.591493,1684.6848,38.72106,32.572132, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
44.656162,159305.83,6.5950007,-656.0169,-9.585452,46.93467, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
35.658894,172172.39,5.457554,-601.8256,-86.52888,36.319344, Private, HS-grad, Never-married, Other-service, Own-child, White, Male, United-States, <=50K
23.826317,185124.66,4.269731,-1070.4751,150.06226,26.18463, Private, HS-grad, Never-married, Other-service, Own-child, White, Male, United-States, <=50K
53.52805,117164.93,9.698189,1459.4299,6.988744,27.326366, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Male, United-States, <=50K
44.407795,202319.84,14.080836,6764.7974,30.530516,45.225697, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
30.073378,312011.94,11.370487,649.8262,-39.240337,45.570854, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, White, Female, United-States, <=50K
64.74087,125552.61,5.1441793,3724.2173,43.27042,49.655792, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
41.02113,334907.66,8.650283,818.79736,38.772373,52.24754, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male, United-States, <=50K
49.804695,69711.195,9.28985,1665.157,229.03053,39.160797, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
45.64389,113203.93,11.274519,7455.8804,110.476326,39.846695, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
