39, 77516, 13, 2174, 0, 40, State-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male, United-States, <=50K
65.32026,304230.22,15.078195,-557.8321,-0.24879731,9.861696, Private, Bachelors, Widowed, ?, Not-in-family, White, Female, United-States, <=50K
31.68895,214657.6,8.772593,-684.63715,-40.831936,46.535732, Private, HS-grad, Never-married, Sales, Other-relative, White, Female, United-States, <=50K
55.576233,201386.05,8.793992,8700.705,25.034788,39.729214, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
16.328184,160912.06,7.1618896,271.89557,-35.99075,35.92447, ?, Some-college, Never-married, ?, Own-child, White, Female, United-States, <=50K
33.695255,180302.58,8.508795,-546.04755,16.497442,40.264866, Private, HS-grad, Divorced, Exec-managerial, Unmarried, White, Female, United-States, <=50K
33.87271,40265.53,9.521135,-541.2475,9.86839,42.78798, Private, Some-college, Divorced, Other-service, Not-in-family, White, Female, United-States, <=50K
36.806618,56254.72,9.411913,-1734.7769,-59.3549,30.706226, Private, HS-grad, Divorced, Sales, Own-child, White, Female, United-States, <=50K
63.939938,368732.28,14.2781,65.52166,25.787012,42.843224, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
25.892735,84271.01,8.23533,-497.34784,17.319098,36.73468, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
52.691048,168315.66,10.015378,-731.58307,46.121983,35.031853, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States, >50K
31.192665,159692.06,12.389953,762.4474,-19.350763,39.329464, Private, Bachelors, Divorced, Prof-specialty, Wife, White, Female, United-States, >50K
60.362457,148064.61,6.2275577,-422.24847,-3.7983885,34.238632, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States, >50K
39.522312,56768.453,7.0121565,-573.3857,-12.500819,40.523052, Private, Some-college, Divorced, Prof-specialty, Unmarried, White, Female, United-States, <=50K
31.374855,170122.67,10.119497,73.454094,-56.950603,31.374548, Private, Assoc-voc, Separated, Sales, Not-in-family, White, Female, United-States, <=50K
24.41351,94205.44,8.9986515,862.03644,33.138275,23.795132, ?, Some-college, Never-married, ?, Not-in-family, White, Female, United-States, <=50K
32.44645,145141.3,8.94877,275.3225,-26.851786,47.893444, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male, United-States, <=50K
32.146187,214609.97,10.331705,-1198.4348,-5.065921,68.39741, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Wife, White, Female, United-States, >50K
23.433462,88075.62,9.553419,-795.8859,-14.680293,40.057655, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
24.688478,152148.5,9.44273,-977.51825,3.3525743,55.465405, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States, >50K
32.551186,169242.47,8.312713,-334.52545,11.50295,37.553143, ?, HS-grad, Never-married, ?, Not-in-family, White, Male, United-States, <=50K
38.285694,351255.8,5.23896,-54.051212,-5.3289824,38.49319, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
16.917768,326667.75,8.779211,14.753963,18.027754,25.72416, Private, HS-grad, Never-married, Other-service, Own-child, White, Female, United-States, <=50K
27.037668,156426.56,8.980568,722.3301,-50.57548,35.884254, Private, HS-grad, Never-married, Tech-support, Not-in-family, White, Female, United-States, <=50K
59.58797,138738.67,10.7303095,-2022.5593,16.643972,55.454887, Private, Assoc-voc, Divorced, Other-service, Other-relative, White, Male, United-States, >50K
45.000595,180919.77,1.9800816,-208.08893,-40.442852,46.921787, Private, Some-college, Separated, Handlers-cleaners, Not-in-family, White, Male, United-States, <=50K
27.697523,219996.9,9.199162,-261.64154,-0.8462018,48.845257, Private, Some-college, Never-married, Protective-serv, Own-child, White, Male, United-States, <=50K
43.078594,111835.73,8.479104,3313.0789,10.809285,67.071846, Private, HS-grad, Divorced, Farming-fishing, Not-in-family, White, Male, United-States, <=50K
26.182457,185654.8,11.17682,-173.33942,1813.7599,38.750572, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Wife, White, Female, United-States, >50K
25.1162,182243.02,9.018474,-303.87274,28.264048,29.395958, Private, HS-grad, Never-married, Exec-managerial, Unmarried, White, Female, United-States, <=50K
21.046604,198600.25,8.766387,-532.24274,-27.710459,36.04485, ?, Some-college, Never-married, ?, Own-child, White, Female, United-States, <=50K
26.72234,93841.04,8.812465,4246.774,-23.200953,35.528954, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States, <=50K
33.376488,69479.41,12.228061,-722.34576,-1.7124661,43.5036, Private, Bachelors, Separated, Exec-managerial, Husband, White, Male, United-States, <=50K
35.13494,166761.6,12.735734,-10.91254,2.9899416,41.658276, Private, Bachelors, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States, >50K
33.83187,394158.6,9.056801,104.42211,-21.211039,19.231358, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male, United-States, <=50K
32.59991,128813.6,8.60177,3809.1704,-1.1683453,21.08901, Private, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female, United-States, <=50K
35.502956,155458.11,12.759831,-943.3389,21.624434,42.630207, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, <=50K
38.03584,212779.31,13.007155,-495.7403,-26.514307,40.483315, Private, Bachelors, Never-married, Tech-support, Not-in-family, White, Female, United-States, <=50K
47.094624,149452.02,12.644593,-1210.5901,16.840147,42.812263, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male, United-States, >50K
28.409004,130906.336,14.619556,513.56665,17.793043,21.740414, Private, Bachelors, Never-married, Prof-specialty, Unmarried, White, Male, United-States, <=50K
44.42101,303586.28,9.054748,99.66497,-12.793361,39.582436, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male, United-States, <=50K
38.29488,98488.74,9.290759,-1138.1082,44.088505,54.28051, Private, HS-grad, Divorced, Other-service, Unmarried, White, Male, United-States, <=50K
35.99644,191679.8,12.9686775,-311.33063,14.984555,40.881107, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male, United-States, <=50K
37.20955,447864.3,8.854977,-546.35065,-2.2790937,42.12825, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, <=50K
36.71311,168015.02,12.9087925,-396.90363,-1.0590695,42.214157, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, <=50K
