39, 77516, 13, 2174, 0, 40, State-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male, United-States, <=50K
44.947403,141321.86,9.74913,306.67053,25.637232,39.802902, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, <=50K
54.420605,160139.19,11.313303,-342.0573,40.32909,41.436806, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
36.189896,402378.5,10.080536,-103.18684,27.25451,48.150738, Private, Some-college, Divorced, ?, Unmarried, White, Female, United-States, <=50K
25.381014,235995.19,8.196542,-72.725044,-37.0641,42.837524, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male, United-States, <=50K
34.39319,235650.28,8.212628,1552.2195,12.543492,40.333984, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States, <=50K
34.58113,42273.0,6.5667067,-1409.8794,37.416134,58.912807, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
50.529068,221950.47,7.0718546,1231.0524,34.399868,32.268784, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
52.702988,119147.42,13.340809,859.6379,-46.233807,37.792755, Private, Bachelors, Married-civ-spouse, ?, Husband, White, Male, United-States, <=50K
31.033691,172412.53,11.732978,-427.48712,39.592945,49.9668, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male, United-States, <=50K
54.429104,195329.34,9.340479,8723.275,34.278397,41.00302, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male, United-States, <=50K
44.801147,466220.97,8.24092,-730.40717,62.350086,33.178444, Private, Some-college, Divorced, Other-service, Unmarried, White, Female, United-States, <=50K
40.21702,207962.66,2.73075,1582.1263,-62.380367,37.329334, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male, United-States, <=50K
36.70965,189038.83,10.5159645,-902.46954,-10.374476,83.421135, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
49.414734,157357.08,8.599783,-950.67316,8.748136,38.458256, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
53.66371,166963.0,13.585199,516.9592,-27.612444,40.29672, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, <=50K
38.96292,93939.22,8.974371,1423.6193,-60.028393,40.4023, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
40.447796,87288.78,10.111204,-810.23846,-4.8833265,36.18664, Private, Some-college, Never-married, ?, Not-in-family, White, Male, United-States, <=50K
39.33019,51741.39,9.120885,-295.17548,-49.799114,32.908142, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Female, United-States, <=50K
27.016512,138515.53,10.117499,107.92223,72.967094,36.725735, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Male, United-States, <=50K
34.706753,262392.34,12.203687,635.73035,29.592672,44.260967, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
20.929539,194679.88,7.97602,-1123.1401,32.769596,34.175667, Private, HS-grad, Never-married, Sales, Own-child, White, Male, United-States, <=50K
56.609516,65481.227,13.75467,-1890.9028,-60.82046,92.700645, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male, United-States, <=50K
39.592247,51719.312,13.658459,1331.6672,-9.925883,46.342663, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, <=50K
53.55241,21781.219,14.371398,-430.1817,69.9472,44.468456, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
32.063816,263140.44,9.280125,-464.242,-17.906008,31.165674, Private, HS-grad, Never-married, Other-service, Own-child, White, Male, United-States, <=50K
44.88347,106800.516,15.38383,-592.58905,84.83362,72.026955, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Male, United-States, <=50K
31.710155,442610.8,3.106741,8478.125,-32.27171,30.907856, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male, United-States, <=50K
56.169407,183023.52,2.579052,1024.9337,-65.78402,36.639095, Private, HS-grad, Never-married, Other-service, Own-child, White, Male, United-States, <=50K
